case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.1,3D,P1,0.1,P1,,0.00118848,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.1,3D,P2,0.1,P2,,0.0310356,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.1,3D,P3,0.1,P3,,0.0329454,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.1,3D,P4,0.1,P4,,0.0444341,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.1,3D,P5,0.1,P5,,0.00931729,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.1,3D,P6,0.1,P6,,0.0325246,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.1,3D,P7,0.1,P7,,0.0342026,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.1,3D,P8,0.1,P8,,0.045386,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.1,3D,P9,0.1,P9,,0.0207634,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.2,3D,P1,0.2,P1,,0.00118847,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.2,3D,P2,0.2,P2,,0.0405214,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.2,3D,P3,0.2,P3,,0.0350082,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.2,3D,P4,0.2,P4,,0.0535059,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.2,3D,P5,0.2,P5,,0.0112306,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.2,3D,P6,0.2,P6,,0.0422763,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.2,3D,P7,0.2,P7,,0.0364318,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.2,3D,P8,0.2,P8,,0.0544676,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.2,3D,P9,0.2,P9,,0.0238907,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.5,3D,P1,0.5,P1,,0.00119003,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.5,3D,P2,0.5,P2,,0.132117,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.5,3D,P3,0.5,P3,,0.0465575,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.5,3D,P4,0.5,P4,,0.141901,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.5,3D,P5,0.5,P5,,0.0358763,,,
niederer,implicit_TNNP_epicardialCells_DT0.001_DX0.5,3D,P6,0.5,P6,,0.13343,,,
