"Vm","activationTime","activeTension","externalStimulusCurrent","ionicCurrent","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.045826,0.001129,0,0,3.0195e-05,1,0,0,0,0.007
0.045826,0.001129,0,0,3.0199e-05,1,2.1401e-05,2e-05,3e-06,0.006993
0.045826,0.001129,0,0,3.0203e-05,1,4.2802e-05,4e-05,6e-06,0.006986
0.045826,0.001129,0,0,3.0207e-05,1,6.4203e-05,6e-05,9e-06,0.006979
0.045826,0.001129,0,0,3.0211e-05,1,8.5604e-05,8e-05,1.2e-05,0.006972
0.045826,0.001129,0,0,3.0214e-05,1,0.000107,0.0001,1.5e-05,0.006965
0.045826,0.0011291,0,0,3.0231e-05,1,0.00012841,0.00012,1.8e-05,0.006958
0.045826,0.0011291,0,0,3.0248e-05,1,0.00014981,0.00014,2.1e-05,0.006951
0.045826,0.0011292,0,0,3.0264e-05,1,0.00017121,0.00016,2.4e-05,0.006944
0.045826,0.0011292,0,0,3.0281e-05,1,0.00019261,0.00018,2.7e-05,0.006937
0.045826,0.0011293,0,0,3.0298e-05,1,0.00021401,0.0002,3e-05,0.00693
0.045826,0.0011294,0,0,3.0349e-05,1,0.00023541,0.00022,3.3e-05,0.006923
0.045826,0.0011295,0,0,3.04e-05,1,0.00025681,0.00024,3.6e-05,0.006916
0.045826,0.0011296,0,0,3.0452e-05,1,0.00027821,0.00026,3.9e-05,0.006909
0.045826,0.0011297,0,0,3.0503e-05,1,0.00029961,0.00028,4.2e-05,0.006902
0.045826,0.0011298,0,0,3.0554e-05,1,0.00032101,0.0003,4.5e-05,0.006895
0.045826,0.00113,0,0,3.0483e-05,1,0.00034241,0.00032,4.8e-05,0.006888
0.045826,0.0011302,0,0,3.0411e-05,1,0.00036382,0.00034,5.1e-05,0.006881
0.045826,0.0011304,0,0,3.034e-05,1,0.00038522,0.00036,5.4e-05,0.006874
0.045826,0.0011306,0,0,3.0268e-05,1,0.00040662,0.00038,5.7e-05,0.006867
0.045826,0.0011309,0,0,3.0196e-05,1,0.00042802,0.0004,6e-05,0.00686
0.045826,0.0011312,0,0,3.0146e-05,1,0.00044942,0.00042,6.3e-05,0.006853
0.045826,0.0011316,0,0,3.0096e-05,1,0.00047082,0.00044,6.6e-05,0.006846
0.045826,0.001132,0,0,3.0046e-05,1,0.00049222,0.00046,6.9e-05,0.006839
0.045826,0.0011324,0,0,2.9995e-05,1,0.00051362,0.00048,7.2e-05,0.006832
0.045826,0.0011327,0,0,2.9945e-05,1,0.00053502,0.0005,7.5e-05,0.006825
0.045826,0.0011334,0,0,3.0091e-05,1,0.00055642,0.00052,7.8e-05,0.006818
0.045826,0.0011341,0,0,3.0236e-05,1,0.00057783,0.00054,8.1e-05,0.006811
0.045826,0.0011348,0,0,3.0382e-05,1,0.00059923,0.00056,8.4e-05,0.006804
0.045826,0.0011354,0,0,3.0527e-05,1,0.00062063,0.00058,8.7e-05,0.006797
0.045826,0.0011361,0,0,3.0673e-05,1,0.00064203,0.0006,9e-05,0.00679
0.045826,0.0011372,0,0,3.076e-05,1,0.00066343,0.00062,9.3e-05,0.006783
0.045826,0.0011383,0,0,3.0846e-05,1,0.00068483,0.00064,9.6e-05,0.006776
0.045826,0.0011395,0,0,3.0933e-05,1,0.00070623,0.00066,9.9e-05,0.006769
0.045826,0.0011406,0,0,3.102e-05,1,0.00072763,0.00068,0.000102,0.006762
0.045826,0.0011417,0,0,3.1106e-05,1,0.00074903,0.0007,0.000105,0.006755
0.045826,0.0011436,0,0,3.1264e-05,1,0.00077043,0.00072,0.000108,0.006748
0.045826,0.0011454,0,0,3.1423e-05,1,0.00079183,0.00074,0.000111,0.006741
0.045826,0.0011473,0,0,3.1581e-05,1,0.00081324,0.00076,0.000114,0.006734
0.045826,0.0011492,0,0,3.1739e-05,1,0.00083464,0.00078,0.000117,0.006727
0.045826,0.001151,0,0,3.1897e-05,1,0.00085604,0.0008,0.00012,0.00672
0.045826,0.0011539,0,0,3.2131e-05,1,0.00087744,0.00082,0.000123,0.006713
0.045826,0.0011569,0,0,3.2365e-05,1,0.00089884,0.00084,0.000126,0.006706
0.045826,0.0011598,0,0,3.2598e-05,1,0.00092024,0.00086,0.000129,0.006699
0.045826,0.0011627,0,0,3.2832e-05,1,0.00094164,0.00088,0.000132,0.006692
0.045826,0.0011657,0,0,3.3066e-05,1,0.00096304,0.0009,0.000135,0.006685
0.045826,0.0011702,0,0,3.3484e-05,1,0.00098444,0.00092,0.000138,0.006678
0.045826,0.0011747,0,0,3.3903e-05,1,0.0010058,0.00094,0.000141,0.006671
0.045826,0.0011792,0,0,3.4322e-05,1,0.0010272,0.00096,0.000144,0.006664
0.045826,0.0011836,0,0,3.474e-05,1,0.0010486,0.00098,0.000147,0.006657
0.045826,0.0011881,0,0,3.5159e-05,1,0.00107,0.001,0.00015,0.00665
0.045826,0.0011948,0,0,3.5661e-05,1,0.0010914,0.00102,0.000153,0.006643
0.045826,0.0012014,0,0,3.6164e-05,1,0.0011128,0.00104,0.000156,0.006636
0.045826,0.001208,0,0,3.6666e-05,1,0.0011342,0.00106,0.000159,0.006629
0.045826,0.0012147,0,0,3.7169e-05,1,0.0011557,0.00108,0.000162,0.006622
0.045826,0.0012213,0,0,3.7672e-05,1,0.0011771,0.0011,0.000165,0.006615
0.045826,0.0012308,0,0,3.7825e-05,1,0.0011985,0.00112,0.000168,0.006608
0.045826,0.0012402,0,0,3.7978e-05,1,0.0012199,0.00114,0.000171,0.006601
0.045826,0.0012497,0,0,3.8131e-05,1,0.0012413,0.00116,0.000174,0.006594
0.045826,0.0012591,0,0,3.8284e-05,1,0.0012627,0.00118,0.000177,0.006587
0.045826,0.0012686,0,0,3.8437e-05,1,0.0012841,0.0012,0.00018,0.00658
0.045826,0.0012815,0,0,3.8064e-05,1,0.0013055,0.00122,0.000183,0.006573
0.045826,0.0012945,0,0,3.7692e-05,1,0.0013269,0.00124,0.000186,0.006566
0.045826,0.0013075,0,0,3.7319e-05,1,0.0013483,0.00126,0.000189,0.006559
0.045826,0.0013204,0,0,3.6947e-05,1,0.0013697,0.00128,0.000192,0.006552
0.045826,0.0013334,0,0,3.6574e-05,1,0.0013911,0.0013,0.000195,0.006545
0.045826,0.0013507,0,0,3.5983e-05,1,0.0014125,0.00132,0.000198,0.006538
0.045826,0.001368,0,0,3.5391e-05,1,0.0014339,0.00134,0.000201,0.006531
0.045826,0.0013853,0,0,3.48e-05,1,0.0014553,0.00136,0.000204,0.006524
0.045826,0.0014026,0,0,3.4208e-05,1,0.0014767,0.00138,0.000207,0.006517
0.045826,0.0014199,0,0,3.3617e-05,1,0.0014981,0.0014,0.00021,0.00651
0.045827,0.0014421,0,0,3.3043e-05,1,0.0015195,0.00142,0.000213,0.006503
0.045827,0.0014643,0,0,3.2469e-05,1,0.0015409,0.00144,0.000216,0.006496
0.045827,0.0014865,0,0,3.1896e-05,1,0.0015623,0.00146,0.000219,0.006489
0.045827,0.0015087,0,0,3.1322e-05,1,0.0015837,0.00148,0.000222,0.006482
0.045827,0.0015309,0,0,3.0749e-05,1,0.0016051,0.0015,0.000225,0.006475
0.045827,0.0015562,0,0,3.0576e-05,1,0.0016265,0.00152,0.000228,0.006468
0.045827,0.0015815,0,0,3.0404e-05,1,0.0016479,0.00154,0.000231,0.006461
0.045827,0.0016068,0,0,3.0232e-05,1,0.0016693,0.00156,0.000234,0.006454
0.045827,0.0016321,0,0,3.006e-05,1,0.0016907,0.00158,0.000237,0.006447
0.045827,0.0016574,0,0,2.9888e-05,1,0.0017121,0.0016,0.00024,0.00644
0.045827,0.0016834,0,0,3.0083e-05,1,0.0017335,0.00162,0.000243,0.006433
0.045827,0.0017094,0,0,3.0279e-05,1,0.0017549,0.00164,0.000246,0.006426
0.045827,0.0017355,0,0,3.0475e-05,1,0.0017763,0.00166,0.000249,0.006419
0.045827,0.0017615,0,0,3.0671e-05,1,0.0017977,0.00168,0.000252,0.006412
0.045827,0.0017876,0,0,3.0867e-05,1,0.0018191,0.0017,0.000255,0.006405
0.045828,0.0018139,0,0,3.0782e-05,1,0.0018405,0.00172,0.000258,0.006398
0.045828,0.0018403,0,0,3.0699e-05,1,0.0018619,0.00174,0.000261,0.006391
0.045828,0.0018667,0,0,3.0616e-05,1,0.0018833,0.00176,0.000264,0.006384
0.045828,0.0018931,0,0,3.0532e-05,1,0.0019047,0.00178,0.000267,0.006377
0.045828,0.0019195,0,0,3.0448e-05,1,0.0019261,0.0018,0.00027,0.00637
0.045828,0.001946,0,0,3.0432e-05,1,0.0019475,0.00182,0.000273,0.006363
0.045828,0.0019726,0,0,3.0415e-05,1,0.0019689,0.00184,0.000276,0.006356
0.045828,0.0019992,0,0,3.0398e-05,1,0.0019903,0.00186,0.000279,0.006349
0.045828,0.0020257,0,0,3.0382e-05,1,0.0020117,0.00188,0.000282,0.006342
0.045828,0.0020523,0,0,3.0365e-05,1,0.0020331,0.0019,0.000285,0.006335
0.045828,0.002079,0,0,3.0397e-05,1,0.0020545,0.00192,0.000288,0.006328
0.045828,0.0021057,0,0,3.0429e-05,1,0.0020759,0.00194,0.000291,0.006321
0.045828,0.0021324,0,0,3.0463e-05,1,0.0020973,0.00196,0.000294,0.006314
0.045828,0.002159,0,0,3.0496e-05,1,0.0021187,0.00198,0.000297,0.006307
0.045828,0.0021857,0,0,3.0531e-05,1,0.0021401,0.002,0.0003,0.0063
0.045829,0.0022125,0,0,3.0441e-05,1,0.0021615,0.00202,0.000303,0.006293
0.045829,0.0022393,0,0,3.0353e-05,1,0.0021829,0.00204,0.000306,0.006286
0.045829,0.0022661,0,0,3.0268e-05,1,0.0022043,0.00206,0.000309,0.006279
0.045829,0.0022929,0,0,3.0185e-05,1,0.0022257,0.00208,0.000312,0.006272
0.045829,0.0023197,0,0,3.0105e-05,1,0.0022471,0.0021,0.000315,0.006265
