"activationTime","arc_length","Points:0","Points:1","Points:2"
0.0012495,0,0,0,0.007
0.0012498,2.1401e-05,2e-05,3e-06,0.006993
0.0012501,4.2802e-05,4e-05,6e-06,0.006986
0.0012503,6.4203e-05,6e-05,9e-06,0.006979
0.0012506,8.5604e-05,8e-05,1.2e-05,0.006972
0.0012508,0.000107,0.0001,1.5e-05,0.006965
0.0012511,0.00012841,0.00012,1.8e-05,0.006958
0.0012514,0.00014981,0.00014,2.1e-05,0.006951
0.0012516,0.00017121,0.00016,2.4e-05,0.006944
0.0012519,0.00019261,0.00018,2.7e-05,0.006937
0.0012522,0.00021401,0.0002,3e-05,0.00693
0.0012524,0.00023541,0.00022,3.3e-05,0.006923
0.0012527,0.00025681,0.00024,3.6e-05,0.006916
0.0012529,0.00027821,0.00026,3.9e-05,0.006909
0.0012532,0.00029961,0.00028,4.2e-05,0.006902
0.0012535,0.00032101,0.0003,4.5e-05,0.006895
0.0012537,0.00034241,0.00032,4.8e-05,0.006888
0.001254,0.00036382,0.00034,5.1e-05,0.006881
0.0012542,0.00038522,0.00036,5.4e-05,0.006874
0.0012545,0.00040662,0.00038,5.7e-05,0.006867
0.0012548,0.00042802,0.0004,6e-05,0.00686
0.001255,0.00044942,0.00042,6.3e-05,0.006853
0.0012553,0.00047082,0.00044,6.6e-05,0.006846
0.0012555,0.00049222,0.00046,6.9e-05,0.006839
0.0012558,0.00051362,0.00048,7.2e-05,0.006832
0.0012561,0.00053502,0.0005,7.5e-05,0.006825
0.0012588,0.00055642,0.00052,7.8e-05,0.006818
0.0012615,0.00057783,0.00054,8.1e-05,0.006811
0.0012643,0.00059923,0.00056,8.4e-05,0.006804
0.001267,0.00062063,0.00058,8.7e-05,0.006797
0.0012697,0.00064203,0.0006,9e-05,0.00679
0.0012725,0.00066343,0.00062,9.3e-05,0.006783
0.0012752,0.00068483,0.00064,9.6e-05,0.006776
0.0012779,0.00070623,0.00066,9.9e-05,0.006769
0.0012807,0.00072763,0.00068,0.000102,0.006762
0.0012834,0.00074903,0.0007,0.000105,0.006755
0.0012861,0.00077043,0.00072,0.000108,0.006748
0.0012889,0.00079183,0.00074,0.000111,0.006741
0.0012916,0.00081324,0.00076,0.000114,0.006734
0.0012943,0.00083464,0.00078,0.000117,0.006727
0.0012971,0.00085604,0.0008,0.00012,0.00672
0.0012998,0.00087744,0.00082,0.000123,0.006713
0.0013026,0.00089884,0.00084,0.000126,0.006706
0.0013053,0.00092024,0.00086,0.000129,0.006699
0.001308,0.00094164,0.00088,0.000132,0.006692
0.0013108,0.00096304,0.0009,0.000135,0.006685
0.0013135,0.00098444,0.00092,0.000138,0.006678
0.0013162,0.0010058,0.00094,0.000141,0.006671
0.001319,0.0010272,0.00096,0.000144,0.006664
0.0013217,0.0010486,0.00098,0.000147,0.006657
0.0013244,0.00107,0.001,0.00015,0.00665
0.0013494,0.0010914,0.00102,0.000153,0.006643
0.0013744,0.0011128,0.00104,0.000156,0.006636
0.0013993,0.0011342,0.00106,0.000159,0.006629
0.0014243,0.0011557,0.00108,0.000162,0.006622
0.0014493,0.0011771,0.0011,0.000165,0.006615
0.0014742,0.0011985,0.00112,0.000168,0.006608
0.0014992,0.0012199,0.00114,0.000171,0.006601
0.0015242,0.0012413,0.00116,0.000174,0.006594
0.0015491,0.0012627,0.00118,0.000177,0.006587
0.0015741,0.0012841,0.0012,0.00018,0.00658
0.0015991,0.0013055,0.00122,0.000183,0.006573
0.0016241,0.0013269,0.00124,0.000186,0.006566
0.001649,0.0013483,0.00126,0.000189,0.006559
0.001674,0.0013697,0.00128,0.000192,0.006552
0.001699,0.0013911,0.0013,0.000195,0.006545
0.001724,0.0014125,0.00132,0.000198,0.006538
0.0017489,0.0014339,0.00134,0.000201,0.006531
0.0017739,0.0014553,0.00136,0.000204,0.006524
0.0017989,0.0014767,0.00138,0.000207,0.006517
0.0018239,0.0014981,0.0014,0.00021,0.00651
0.0018489,0.0015195,0.00142,0.000213,0.006503
0.001874,0.0015409,0.00144,0.000216,0.006496
0.0018993,0.0015623,0.00146,0.000219,0.006489
0.0019246,0.0015837,0.00148,0.000222,0.006482
0.0019499,0.0016051,0.0015,0.000225,0.006475
0.0019973,0.0016265,0.00152,0.000228,0.006468
0.0020448,0.0016479,0.00154,0.000231,0.006461
0.0020922,0.0016693,0.00156,0.000234,0.006454
0.0021397,0.0016907,0.00158,0.000237,0.006447
0.0021872,0.0017121,0.0016,0.00024,0.00644
0.0022347,0.0017335,0.00162,0.000243,0.006433
0.0022822,0.0017549,0.00164,0.000246,0.006426
0.0023298,0.0017763,0.00166,0.000249,0.006419
0.0023774,0.0017977,0.00168,0.000252,0.006412
0.002425,0.0018191,0.0017,0.000255,0.006405
0.0024727,0.0018405,0.00172,0.000258,0.006398
0.0025204,0.0018619,0.00174,0.000261,0.006391
0.0025681,0.0018833,0.00176,0.000264,0.006384
0.0026158,0.0019047,0.00178,0.000267,0.006377
0.0026636,0.0019261,0.0018,0.00027,0.00637
0.0027114,0.0019475,0.00182,0.000273,0.006363
0.0027592,0.0019689,0.00184,0.000276,0.006356
0.002807,0.0019903,0.00186,0.000279,0.006349
0.0028549,0.0020117,0.00188,0.000282,0.006342
0.0029028,0.0020331,0.0019,0.000285,0.006335
0.0029507,0.0020545,0.00192,0.000288,0.006328
0.0029987,0.0020759,0.00194,0.000291,0.006321
0.0030466,0.0020973,0.00196,0.000294,0.006314
