# time  numeric_E1  refQ6_E1  refQ12_E1  refQ24_E1  refQ48_E1  refQ96_E1  errQ6_E1  errQ12_E1  errQ24_E1  errQ48_E1  errQ96_E1  deltaQuadratureQ6_Q96_E1  deltaQuadratureQ12_Q96_E1  deltaQuadratureQ24_Q96_E1  deltaQuadratureQ48_Q96_E1  numeric_E2  refQ6_E2  refQ12_E2  refQ24_E2  refQ48_E2  refQ96_E2  errQ6_E2  errQ12_E2  errQ24_E2  errQ48_E2  errQ96_E2  deltaQuadratureQ6_Q96_E2  deltaQuadratureQ12_Q96_E2  deltaQuadratureQ24_Q96_E2  deltaQuadratureQ48_Q96_E2  numeric_E3  refQ6_E3  refQ12_E3  refQ24_E3  refQ48_E3  refQ96_E3  errQ6_E3  errQ12_E3  errQ24_E3  errQ48_E3  errQ96_E3  deltaQuadratureQ6_Q96_E3  deltaQuadratureQ12_Q96_E3  deltaQuadratureQ24_Q96_E3  deltaQuadratureQ48_Q96_E3  numeric_E4  refQ6_E4  refQ12_E4  refQ24_E4  refQ48_E4  refQ96_E4  errQ6_E4  errQ12_E4  errQ24_E4  errQ48_E4  errQ96_E4  deltaQuadratureQ6_Q96_E4  deltaQuadratureQ12_Q96_E4  deltaQuadratureQ24_Q96_E4  deltaQuadratureQ48_Q96_E4  numeric_E5  refQ6_E5  refQ12_E5  refQ24_E5  refQ48_E5  refQ96_E5  errQ6_E5  errQ12_E5  errQ24_E5  errQ48_E5  errQ96_E5  deltaQuadratureQ6_Q96_E5  deltaQuadratureQ12_Q96_E5  deltaQuadratureQ24_Q96_E5  deltaQuadratureQ48_Q96_E5
1.40174000e-04  -1.47575823e-11  1.50138083e-17  -6.03196890e-18  1.47629504e-18  3.35574240e-18  3.50037588e-18  1.47575973e-11  1.47575763e-11  1.47575838e-11  1.47575857e-11  1.47575858e-11  1.15134324e-17  9.53234479e-18  2.02408084e-18  1.44633486e-19  -4.06260789e-12  -1.69068597e-17  6.64266007e-18  -1.27850970e-18  -3.09422934e-18  -3.44254212e-18  4.06259098e-12  4.06261453e-12  4.06260661e-12  4.06260479e-12  4.06260445e-12  1.34643175e-17  1.00852022e-17  2.16403242e-18  3.48312786e-19  -2.29342718e-03  -2.87208345e-03  -2.29420990e-03  -2.29490692e-03  -2.29490692e-03  -2.29490692e-03  5.78656266e-04  7.82720019e-07  1.47973744e-06  1.47973485e-06  1.47973485e-06  5.77176531e-04  6.97014832e-07  2.59014902e-12  1.17961196e-16  3.54101860e-03  3.57705807e-03  3.54699625e-03  3.54700251e-03  3.54700251e-03  3.54700251e-03  3.60394758e-05  5.97764736e-06  5.98391375e-06  5.98391375e-06  5.98391375e-06  3.00555620e-05  6.26638841e-09  1.68701858e-16  4.85722573e-17  -1.04756642e-03  -1.07946976e-03  -1.04948185e-03  -1.04948188e-03  -1.04948188e-03  -1.04948188e-03  3.19033422e-05  1.91543386e-06  1.91546371e-06  1.91546371e-06  1.91546371e-06  2.99878785e-05  2.98472156e-11  1.86482774e-17  4.33680869e-19
2.80348000e-04  -2.95140145e-11  1.50148604e-17  -6.03239159e-18  1.47639849e-18  3.35597755e-18  3.50062117e-18  2.95140295e-11  2.95140085e-11  2.95140160e-11  2.95140179e-11  2.95140180e-11  1.15142392e-17  9.53301276e-18  2.02422268e-18  1.44643621e-19  -8.13898948e-12  -1.69080444e-17  6.64312555e-18  -1.27859929e-18  -3.09444616e-18  -3.44278336e-18  8.13897257e-12  8.13899613e-12  8.13898820e-12  8.13898639e-12  8.13898604e-12  1.34652610e-17  1.00859089e-17  2.16418406e-18  3.48337194e-19  -2.29358808e-03  -2.87228471e-03  -2.29437067e-03  -2.29506773e-03  -2.29506773e-03  -2.29506773e-03  5.78696627e-04  7.82587089e-07  1.47965335e-06  1.47965076e-06  1.47965076e-06  5.77216976e-04  6.97063675e-07  2.59033073e-12  1.17961196e-16  3.54126715e-03  3.57730874e-03  3.54724480e-03  3.54725107e-03  3.54725107e-03  3.54725107e-03  3.60415838e-05  5.97764886e-06  5.98391568e-06  5.98391568e-06  5.98391568e-06  3.00576681e-05  6.26682752e-09  1.68701858e-16  4.85722573e-17  -1.04763995e-03  -1.07954541e-03  -1.04955540e-03  -1.04955543e-03  -1.04955543e-03  -1.04955543e-03  3.19054595e-05  1.91544977e-06  1.91547962e-06  1.91547962e-06  1.91547962e-06  2.99899799e-05  2.98493073e-11  1.86482774e-17  4.33680869e-19
4.20522000e-04  -4.42670171e-11  1.50159124e-17  -6.03281425e-18  1.47650194e-18  3.35621269e-18  3.50086644e-18  4.42670322e-11  4.42670111e-11  4.42670186e-11  4.42670205e-11  4.42670206e-11  1.15150459e-17  9.53368069e-18  2.02436450e-18  1.44653755e-19  -1.22335926e-11  -1.69092291e-17  6.64359100e-18  -1.27868888e-18  -3.09466298e-18  -3.44302458e-18  1.22335757e-11  1.22335993e-11  1.22335913e-11  1.22335895e-11  1.22335892e-11  1.34662045e-17  1.00866156e-17  2.16433570e-18  3.48361600e-19  -2.29374897e-03  -2.87248595e-03  -2.29453142e-03  -2.29522854e-03  -2.29522854e-03  -2.29522854e-03  5.78736984e-04  7.82452675e-07  1.47956778e-06  1.47956519e-06  1.47956519e-06  5.77257419e-04  6.97112514e-07  2.59051244e-12  1.17961196e-16  3.54151569e-03  3.57755938e-03  3.54749334e-03  3.54749961e-03  3.54749961e-03  3.54749961e-03  3.60436898e-05  5.97764839e-06  5.98391565e-06  5.98391565e-06  5.98391565e-06  3.00597741e-05  6.26726661e-09  1.68701858e-16  4.85722573e-17  -1.04771347e-03  -1.07962104e-03  -1.04962893e-03  -1.04962896e-03  -1.04962896e-03  -1.04962896e-03  3.19075760e-05  1.91546506e-06  1.91549492e-06  1.91549492e-06  1.91549492e-06  2.99920811e-05  2.98513985e-11  1.86482774e-17  4.33680869e-19
5.60696000e-04  -5.90190084e-11  1.50169643e-17  -6.03323688e-18  1.47660537e-18  3.35644780e-18  3.50111169e-18  5.90190234e-11  5.90190024e-11  5.90190099e-11  5.90190118e-11  5.90190119e-11  1.15158526e-17  9.53434857e-18  2.02450632e-18  1.44663889e-19  -1.63479508e-11  -1.69104136e-17  6.64405642e-18  -1.27877846e-18  -3.09487977e-18  -3.44326578e-18  1.63479339e-11  1.63479574e-11  1.63479495e-11  1.63479477e-11  1.63479473e-11  1.34671479e-17  1.00873222e-17  2.16448732e-18  3.48386005e-19  -2.29390985e-03  -2.87268719e-03  -2.29469217e-03  -2.29538933e-03  -2.29538933e-03  -2.29538933e-03  5.78777338e-04  7.82317585e-07  1.47948153e-06  1.47947894e-06  1.47947894e-06  5.77297859e-04  6.97161351e-07  2.59069372e-12  1.17961196e-16  3.54176421e-03  3.57781001e-03  3.54774186e-03  3.54774813e-03  3.54774813e-03  3.54774813e-03  3.60457949e-05  5.97764724e-06  5.98391494e-06  5.98391494e-06  5.98391494e-06  3.00618800e-05  6.26770566e-09  1.68701858e-16  4.85722573e-17  -1.04778699e-03  -1.07969668e-03  -1.04970247e-03  -1.04970250e-03  -1.04970250e-03  -1.04970250e-03  3.19096922e-05  1.91548011e-06  1.91550997e-06  1.91550997e-06  1.91550997e-06  2.99941822e-05  2.98534899e-11  1.86482774e-17  4.33680869e-19
7.00870000e-04  -7.37676552e-11  1.50180162e-17  -6.03365948e-18  1.47670880e-18  3.35668291e-18  3.50135693e-18  7.37676702e-11  7.37676491e-11  7.37676567e-11  7.37676585e-11  7.37676587e-11  1.15166593e-17  9.53501641e-18  2.02464813e-18  1.44674022e-19  -2.04817552e-11  -1.69115981e-17  6.64452180e-18  -1.27886803e-18  -3.09509655e-18  -3.44350696e-18  2.04817383e-11  2.04817618e-11  2.04817539e-11  2.04817521e-11  2.04817517e-11  1.34680912e-17  1.00880288e-17  2.16463893e-18  3.48410407e-19  -2.29407072e-03  -2.87288841e-03  -2.29485290e-03  -2.29555011e-03  -2.29555011e-03  -2.29555011e-03  5.78817688e-04  7.82182095e-07  1.47939487e-06  1.47939228e-06  1.47939228e-06  5.77338296e-04  6.97210184e-07  2.59087500e-12  1.18394877e-16  3.54201272e-03  3.57806061e-03  3.54799036e-03  3.54799663e-03  3.54799663e-03  3.54799663e-03  3.60478996e-05  5.97764584e-06  5.98391398e-06  5.98391398e-06  5.98391398e-06  3.00639857e-05  6.26814469e-09  1.68701858e-16  4.85722573e-17  -1.04786050e-03  -1.07977231e-03  -1.04977599e-03  -1.04977602e-03  -1.04977602e-03  -1.04977602e-03  3.19118081e-05  1.91549505e-06  1.91552490e-06  1.91552490e-06  1.91552490e-06  2.99962832e-05  2.98555809e-11  1.86482774e-17  4.33680869e-19
8.41044000e-04  -8.85137970e-11  1.50190680e-17  -6.03408205e-18  1.47681223e-18  3.35691800e-18  3.50160215e-18  8.85138120e-11  8.85137910e-11  8.85137985e-11  8.85138003e-11  8.85138005e-11  1.15174658e-17  9.53568420e-18  2.02478992e-18  1.44684155e-19  -2.46362514e-11  -1.69127825e-17  6.64498716e-18  -1.27895760e-18  -3.09531332e-18  -3.44374813e-18  2.46362345e-11  2.46362580e-11  2.46362501e-11  2.46362483e-11  2.46362479e-11  1.34690344e-17  1.00887353e-17  2.16479053e-18  3.48434809e-19  -2.29423157e-03  -2.87308961e-03  -2.29501362e-03  -2.29571088e-03  -2.29571088e-03  -2.29571088e-03  5.78858035e-04  7.82046295e-07  1.47930790e-06  1.47930531e-06  1.47930531e-06  5.77378730e-04  6.97259013e-07  2.59105671e-12  1.17961196e-16  3.54226120e-03  3.57831121e-03  3.54823885e-03  3.54824511e-03  3.54824511e-03  3.54824511e-03  3.60500041e-05  5.97764434e-06  5.98391292e-06  5.98391292e-06  5.98391292e-06  3.00660912e-05  6.26858368e-09  1.68701858e-16  4.85722573e-17  -1.04793400e-03  -1.07984793e-03  -1.04984951e-03  -1.04984954e-03  -1.04984954e-03  -1.04984954e-03  3.19139237e-05  1.91550991e-06  1.91553977e-06  1.91553977e-06  1.91553977e-06  2.99983840e-05  2.98576719e-11  1.86482774e-17  4.33680869e-19
9.81218000e-04  -1.03257658e-10  1.50201197e-17  -6.03450459e-18  1.47691564e-18  3.35715307e-18  3.50184735e-18  1.03257673e-10  1.03257652e-10  1.03257659e-10  1.03257661e-10  1.03257661e-10  1.15182724e-17  9.53635194e-18  2.02493171e-18  1.44694286e-19  -2.88105269e-11  -1.69139669e-17  6.64545248e-18  -1.27904716e-18  -3.09553007e-18  -3.44398928e-18  2.88105100e-11  2.88105335e-11  2.88105256e-11  2.88105238e-11  2.88105234e-11  1.34699776e-17  1.00894418e-17  2.16494212e-18  3.48459208e-19  -2.29439242e-03  -2.87329080e-03  -2.29517433e-03  -2.29587164e-03  -2.29587164e-03  -2.29587164e-03  5.78898379e-04  7.81910213e-07  1.47922064e-06  1.47921805e-06  1.47921805e-06  5.77419161e-04  6.97307839e-07  2.59123799e-12  1.17961196e-16  3.54250967e-03  3.57856178e-03  3.54848731e-03  3.54849358e-03  3.54849358e-03  3.54849358e-03  3.60521084e-05  5.97764278e-06  5.98391180e-06  5.98391180e-06  5.98391180e-06  3.00681966e-05  6.26902264e-09  1.68701858e-16  4.85722573e-17  -1.04800751e-03  -1.07992354e-03  -1.04992303e-03  -1.04992306e-03  -1.04992306e-03  -1.04992306e-03  3.19160392e-05  1.91552471e-06  1.91555457e-06  1.91555457e-06  1.91555457e-06  3.00004846e-05  2.98597627e-11  1.86482774e-17  4.33680869e-19
1.12139200e-03  -1.17999078e-10  1.50211713e-17  -6.03492710e-18  1.47701905e-18  3.35738812e-18  3.50209254e-18  1.17999093e-10  1.17999071e-10  1.17999079e-10  1.17999081e-10  1.17999081e-10  1.15190788e-17  9.53701964e-18  2.02507349e-18  1.44704417e-19  -3.30046823e-11  -1.69151511e-17  6.64591776e-18  -1.27913671e-18  -3.09574681e-18  -3.44423041e-18  3.30046654e-11  3.30046890e-11  3.30046810e-11  3.30046792e-11  3.30046789e-11  1.34709207e-17  1.00901482e-17  2.16509370e-18  3.48483606e-19  -2.29455325e-03  -2.87349198e-03  -2.29533503e-03  -2.29603239e-03  -2.29603239e-03  -2.29603239e-03  5.78938720e-04  7.81773861e-07  1.47913311e-06  1.47913052e-06  1.47913052e-06  5.77459590e-04  6.97356662e-07  2.59141970e-12  1.17961196e-16  3.54275812e-03  3.57881234e-03  3.54873576e-03  3.54874203e-03  3.54874203e-03  3.54874203e-03  3.60542125e-05  5.97764117e-06  5.98391063e-06  5.98391063e-06  5.98391063e-06  3.00703019e-05  6.26946157e-09  1.68701858e-16  4.85722573e-17  -1.04808100e-03  -1.07999916e-03  -1.04999654e-03  -1.04999657e-03  -1.04999657e-03  -1.04999657e-03  3.19181545e-05  1.91553946e-06  1.91556932e-06  1.91556932e-06  1.91556932e-06  3.00025851e-05  2.98618532e-11  1.88651178e-17  4.33680869e-19
1.26156600e-03  -1.32737465e-10  1.50222229e-17  -6.03534958e-18  1.47712245e-18  3.35762316e-18  3.50233770e-18  1.32737480e-10  1.32737459e-10  1.32737467e-10  1.32737468e-10  1.32737469e-10  1.15198852e-17  9.53768729e-18  2.02521526e-18  1.44714547e-19  -3.72193318e-11  -1.69163353e-17  6.64638302e-18  -1.27922626e-18  -3.09596353e-18  -3.44447153e-18  3.72193149e-11  3.72193384e-11  3.72193305e-11  3.72193287e-11  3.72193283e-11  1.34718638e-17  1.00908545e-17  2.16524527e-18  3.48508002e-19  -2.29471408e-03  -2.87369314e-03  -2.29549572e-03  -2.29619312e-03  -2.29619312e-03  -2.29619312e-03  5.78979058e-04  7.81637243e-07  1.47904532e-06  1.47904272e-06  1.47904272e-06  5.77500015e-04  6.97405481e-07  2.59160098e-12  1.17961196e-16  3.54300656e-03  3.57906287e-03  3.54898420e-03  3.54899047e-03  3.54899047e-03  3.54899047e-03  3.60563164e-05  5.97763953e-06  5.98390943e-06  5.98390943e-06  5.98390943e-06  3.00724070e-05  6.26990047e-09  1.69135539e-16  4.90059382e-17  -1.04815449e-03  -1.08007476e-03  -1.05007005e-03  -1.05007008e-03  -1.05007008e-03  -1.05007008e-03  3.19202695e-05  1.91555415e-06  1.91558401e-06  1.91558401e-06  1.91558401e-06  3.00046855e-05  2.98639438e-11  1.86482774e-17  4.33680869e-19
1.40174000e-03  -1.47473651e-10  1.50232744e-17  -6.03577203e-18  1.47722584e-18  3.35785818e-18  3.50258285e-18  1.47473666e-10  1.47473645e-10  1.47473653e-10  1.47473655e-10  1.47473655e-10  1.15206916e-17  9.53835489e-18  2.02535701e-18  1.44724677e-19  -4.14533928e-11  -1.69175194e-17  6.64684824e-18  -1.27931580e-18  -3.09618023e-18  -3.44471263e-18  4.14533759e-11  4.14533994e-11  4.14533915e-11  4.14533897e-11  4.14533894e-11  1.34728067e-17  1.00915609e-17  2.16539683e-18  3.48532396e-19  -2.29487489e-03  -2.87389428e-03  -2.29565639e-03  -2.29635385e-03  -2.29635385e-03  -2.29635385e-03  5.79019393e-04  7.81500359e-07  1.47895725e-06  1.47895466e-06  1.47895466e-06  5.77540438e-04  6.97454297e-07  2.59178269e-12  1.17961196e-16  3.54325497e-03  3.57931339e-03  3.54923261e-03  3.54923888e-03  3.54923888e-03  3.54923888e-03  3.60584201e-05  5.97763786e-06  5.98390820e-06  5.98390820e-06  5.98390820e-06  3.00745119e-05  6.27033934e-09  1.68701858e-16  4.85722573e-17  -1.04822798e-03  -1.08015036e-03  -1.05014355e-03  -1.05014358e-03  -1.05014358e-03  -1.05014358e-03  3.19223844e-05  1.91556879e-06  1.91559865e-06  1.91559865e-06  1.91559865e-06  3.00067857e-05  2.98660341e-11  1.88651178e-17  4.33680869e-19
