# time  field_L1  field_L2  field_Linf  numeric_E_left  exact_E_left  error_E_left  numeric_E_right  exact_E_right  error_E_right  numeric_E_body  exact_E_body  error_E_body
1.40174000e-04  1.85425981e-04  2.40126371e-04  3.71063752e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27768275e+00  2.28076115e+00  3.07839956e-03  2.49429519e+00  2.49737326e+00  3.07807581e-03
2.80348000e-04  1.85436552e-04  2.40140266e-04  3.71085802e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27778183e+00  2.28086025e+00  3.07842161e-03  2.49439427e+00  2.49747237e+00  3.07809786e-03
4.20522000e-04  1.85445964e-04  2.40152629e-04  3.71105534e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27788091e+00  2.28095936e+00  3.07844134e-03  2.49449336e+00  2.49757147e+00  3.07811759e-03
5.60696000e-04  1.85454989e-04  2.40164482e-04  3.71124493e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27797999e+00  2.28105845e+00  3.07846030e-03  2.49459243e+00  2.49767057e+00  3.07813655e-03
7.00870000e-04  1.85463886e-04  2.40176165e-04  3.71143194e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27807906e+00  2.28115754e+00  3.07847900e-03  2.49469150e+00  2.49776965e+00  3.07815525e-03
8.41044000e-04  1.85472741e-04  2.40187793e-04  3.71161812e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27817812e+00  2.28125662e+00  3.07849762e-03  2.49479056e+00  2.49786873e+00  3.07817387e-03
9.81218000e-04  1.85481581e-04  2.40199401e-04  3.71180399e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27827717e+00  2.28135569e+00  3.07851621e-03  2.49488961e+00  2.49796781e+00  3.07819245e-03
1.12139200e-03  1.85490415e-04  2.40211001e-04  3.71198975e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27837622e+00  2.28145475e+00  3.07853478e-03  2.49498866e+00  2.49806687e+00  3.07821103e-03
1.26156600e-03  1.85499248e-04  2.40222601e-04  3.71217549e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27847526e+00  2.28155381e+00  3.07855336e-03  2.49508770e+00  2.49816593e+00  3.07822960e-03
1.40174000e-03  1.85508082e-04  2.40234200e-04  3.71236122e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27857429e+00  2.28165287e+00  3.07857193e-03  2.49518673e+00  2.49826498e+00  3.07824818e-03
1.54191400e-03  1.85516914e-04  2.40245798e-04  3.71254694e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27867332e+00  2.28175191e+00  3.07859050e-03  2.49528576e+00  2.49836403e+00  3.07826675e-03
1.68208800e-03  1.85525746e-04  2.40257394e-04  3.71273263e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27877234e+00  2.28185095e+00  3.07860907e-03  2.49538478e+00  2.49846307e+00  3.07828532e-03
1.82226200e-03  1.85534579e-04  2.40268994e-04  3.71291837e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27887135e+00  2.28194998e+00  3.07862765e-03  2.49548379e+00  2.49856210e+00  3.07830389e-03
1.96243600e-03  1.85543412e-04  2.40280592e-04  3.71310407e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27897036e+00  2.28204900e+00  3.07864622e-03  2.49558280e+00  2.49866112e+00  3.07832246e-03
2.10261000e-03  1.85552244e-04  2.40292190e-04  3.71328978e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27906936e+00  2.28214802e+00  3.07866479e-03  2.49568180e+00  2.49876014e+00  3.07834103e-03
2.24278400e-03  1.85561076e-04  2.40303786e-04  3.71347546e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27916835e+00  2.28224703e+00  3.07868336e-03  2.49578079e+00  2.49885915e+00  3.07835960e-03
2.38295800e-03  1.85569908e-04  2.40315384e-04  3.71366116e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27926733e+00  2.28234604e+00  3.07870193e-03  2.49587978e+00  2.49895815e+00  3.07837817e-03
2.52313200e-03  1.85578739e-04  2.40326980e-04  3.71384684e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27936631e+00  2.28244503e+00  3.07872049e-03  2.49597875e+00  2.49905715e+00  3.07839674e-03
2.66330600e-03  1.85587571e-04  2.40338577e-04  3.71403253e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27946528e+00  2.28254402e+00  3.07873906e-03  2.49607772e+00  2.49915614e+00  3.07841531e-03
2.80348000e-03  1.85596404e-04  2.40350175e-04  3.71421822e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27956425e+00  2.28264301e+00  3.07875763e-03  2.49617669e+00  2.49925512e+00  3.07843388e-03
2.94365400e-03  1.85605236e-04  2.40361772e-04  3.71440390e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27966320e+00  2.28274198e+00  3.07877620e-03  2.49627565e+00  2.49935410e+00  3.07845245e-03
3.08382800e-03  1.85614068e-04  2.40373369e-04  3.71458958e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27976216e+00  2.28284095e+00  3.07879477e-03  2.49637460e+00  2.49945307e+00  3.07847101e-03
3.22400200e-03  1.85622900e-04  2.40384965e-04  3.71477526e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27986110e+00  2.28293991e+00  3.07881334e-03  2.49647354e+00  2.49955203e+00  3.07848958e-03
3.36417600e-03  1.85631731e-04  2.40396562e-04  3.71496092e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.27996004e+00  2.28303887e+00  3.07883190e-03  2.49657248e+00  2.49965098e+00  3.07850815e-03
3.50435000e-03  1.85640562e-04  2.40408157e-04  3.71514657e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28005896e+00  2.28313782e+00  3.07885047e-03  2.49667141e+00  2.49974993e+00  3.07852671e-03
3.64452400e-03  1.85649394e-04  2.40419754e-04  3.71533225e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28015789e+00  2.28323676e+00  3.07886903e-03  2.49677033e+00  2.49984887e+00  3.07854528e-03
3.78469800e-03  1.85658225e-04  2.40431349e-04  3.71551790e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28025680e+00  2.28333569e+00  3.07888760e-03  2.49686924e+00  2.49994781e+00  3.07856385e-03
3.92487200e-03  1.85667057e-04  2.40442946e-04  3.71570356e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28035571e+00  2.28343462e+00  3.07890617e-03  2.49696815e+00  2.50004674e+00  3.07858241e-03
4.06504600e-03  1.85675888e-04  2.40454541e-04  3.71588920e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28045461e+00  2.28353354e+00  3.07892473e-03  2.49706706e+00  2.50014566e+00  3.07860098e-03
4.20522000e-03  1.85684719e-04  2.40466136e-04  3.71607484e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28055351e+00  2.28363245e+00  3.07894329e-03  2.49716595e+00  2.50024457e+00  3.07861954e-03
4.34539400e-03  1.85693551e-04  2.40477732e-04  3.71626049e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28065240e+00  2.28373136e+00  3.07896186e-03  2.49726484e+00  2.50034348e+00  3.07863811e-03
4.48556800e-03  1.85702382e-04  2.40489328e-04  3.71644614e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28075128e+00  2.28383026e+00  3.07898042e-03  2.49736372e+00  2.50044238e+00  3.07865667e-03
4.62574200e-03  1.85711211e-04  2.40500921e-04  3.71663174e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28085015e+00  2.28392915e+00  3.07899898e-03  2.49746259e+00  2.50054127e+00  3.07867523e-03
4.76591600e-03  1.85720043e-04  2.40512516e-04  3.71681738e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28094902e+00  2.28402804e+00  3.07901755e-03  2.49756146e+00  2.50064016e+00  3.07869379e-03
4.90609000e-03  1.85728874e-04  2.40524112e-04  3.71700302e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28104788e+00  2.28412692e+00  3.07903611e-03  2.49766032e+00  2.50073904e+00  3.07871236e-03
5.04626400e-03  1.85737705e-04  2.40535706e-04  3.71718864e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28114674e+00  2.28422579e+00  3.07905467e-03  2.49775918e+00  2.50083791e+00  3.07873092e-03
5.18643800e-03  1.85746535e-04  2.40547301e-04  3.71737426e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28124558e+00  2.28432466e+00  3.07907324e-03  2.49785802e+00  2.50093677e+00  3.07874948e-03
5.32661200e-03  1.85755366e-04  2.40558896e-04  3.71755988e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28134442e+00  2.28442351e+00  3.07909180e-03  2.49795686e+00  2.50103563e+00  3.07876804e-03
5.46678600e-03  1.85764196e-04  2.40570489e-04  3.71774547e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28144326e+00  2.28452237e+00  3.07911036e-03  2.49805570e+00  2.50113448e+00  3.07878660e-03
5.60696000e-03  1.85773027e-04  2.40582085e-04  3.71793110e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28154208e+00  2.28462121e+00  3.07912892e-03  2.49815452e+00  2.50123333e+00  3.07880517e-03
5.74713400e-03  1.85781856e-04  2.40593676e-04  3.71811668e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28164090e+00  2.28472005e+00  3.07914748e-03  2.49825334e+00  2.50133217e+00  3.07882372e-03
5.88730800e-03  1.85790687e-04  2.40605271e-04  3.71830229e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28173971e+00  2.28481888e+00  3.07916604e-03  2.49835215e+00  2.50143100e+00  3.07884228e-03
6.02748200e-03  1.85799517e-04  2.40616865e-04  3.71848788e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28183852e+00  2.28491770e+00  3.07918460e-03  2.49845096e+00  2.50152982e+00  3.07886084e-03
6.16765600e-03  1.85808348e-04  2.40628459e-04  3.71867348e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28193732e+00  2.28501652e+00  3.07920316e-03  2.49854976e+00  2.50162864e+00  3.07887940e-03
6.30783000e-03  1.85817178e-04  2.40640052e-04  3.71885907e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28203611e+00  2.28511533e+00  3.07922172e-03  2.49864855e+00  2.50172745e+00  3.07889796e-03
6.44800400e-03  1.85826007e-04  2.40651645e-04  3.71904464e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28213489e+00  2.28521413e+00  3.07924027e-03  2.49874733e+00  2.50182625e+00  3.07891652e-03
6.58817800e-03  1.85834837e-04  2.40663238e-04  3.71923023e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28223367e+00  2.28531293e+00  3.07925883e-03  2.49884611e+00  2.50192505e+00  3.07893508e-03
6.72835200e-03  1.85843666e-04  2.40674830e-04  3.71941579e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28233244e+00  2.28541172e+00  3.07927739e-03  2.49894488e+00  2.50202384e+00  3.07895363e-03
6.86852600e-03  1.85852497e-04  2.40686424e-04  3.71960137e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28243121e+00  2.28551050e+00  3.07929595e-03  2.49904365e+00  2.50212262e+00  3.07897219e-03
7.00870000e-03  1.85861326e-04  2.40698016e-04  3.71978694e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28252996e+00  2.28560928e+00  3.07931450e-03  2.49914241e+00  2.50222140e+00  3.07899075e-03
7.14887400e-03  1.85870156e-04  2.40709609e-04  3.71997251e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28262871e+00  2.28570805e+00  3.07933306e-03  2.49924116e+00  2.50232017e+00  3.07900931e-03
7.28904800e-03  1.85878985e-04  2.40721201e-04  3.72015806e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28272746e+00  2.28580681e+00  3.07935162e-03  2.49933990e+00  2.50241893e+00  3.07902786e-03
7.42922200e-03  1.85887814e-04  2.40732793e-04  3.72034362e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28282620e+00  2.28590557e+00  3.07937017e-03  2.49943864e+00  2.50251768e+00  3.07904642e-03
7.56939600e-03  1.85896643e-04  2.40744385e-04  3.72052917e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28292492e+00  2.28600431e+00  3.07938873e-03  2.49953737e+00  2.50261643e+00  3.07906497e-03
7.70957000e-03  1.85905472e-04  2.40755976e-04  3.72071471e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28302365e+00  2.28610306e+00  3.07940728e-03  2.49963609e+00  2.50271517e+00  3.07908353e-03
7.84974400e-03  1.85914301e-04  2.40767568e-04  3.72090025e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28312236e+00  2.28620179e+00  3.07942583e-03  2.49973481e+00  2.50281391e+00  3.07910208e-03
7.98991800e-03  1.85923130e-04  2.40779160e-04  3.72108580e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28322107e+00  2.28630052e+00  3.07944439e-03  2.49983351e+00  2.50291264e+00  3.07912064e-03
8.13009200e-03  1.85931959e-04  2.40790752e-04  3.72127134e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28331978e+00  2.28639924e+00  3.07946294e-03  2.49993222e+00  2.50301136e+00  3.07913919e-03
8.27026600e-03  1.85940786e-04  2.40802340e-04  3.72145683e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28341847e+00  2.28649795e+00  3.07948149e-03  2.50003091e+00  2.50311007e+00  3.07915774e-03
8.41044000e-03  1.85949616e-04  2.40813932e-04  3.72164237e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28351716e+00  2.28659666e+00  3.07950005e-03  2.50012960e+00  2.50320878e+00  3.07917629e-03
8.55061400e-03  1.85958445e-04  2.40825524e-04  3.72182791e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28361584e+00  2.28669536e+00  3.07951860e-03  2.50022828e+00  2.50330748e+00  3.07919485e-03
8.69078800e-03  1.85967274e-04  2.40837115e-04  3.72201343e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28371452e+00  2.28679405e+00  3.07953715e-03  2.50032696e+00  2.50340617e+00  3.07921340e-03
8.83096200e-03  1.85976101e-04  2.40848704e-04  3.72219893e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28381318e+00  2.28689274e+00  3.07955570e-03  2.50042563e+00  2.50350486e+00  3.07923195e-03
8.97113600e-03  1.85984930e-04  2.40860295e-04  3.72238445e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28391185e+00  2.28699142e+00  3.07957425e-03  2.50052429e+00  2.50360354e+00  3.07925050e-03
9.11131000e-03  1.85993758e-04  2.40871886e-04  3.72256996e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28401050e+00  2.28709009e+00  3.07959281e-03  2.50062294e+00  2.50370221e+00  3.07926905e-03
9.25148400e-03  1.86002586e-04  2.40883475e-04  3.72275545e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28410915e+00  2.28718876e+00  3.07961135e-03  2.50072159e+00  2.50380088e+00  3.07928760e-03
9.39165800e-03  1.86011413e-04  2.40895064e-04  3.72294094e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28420779e+00  2.28728742e+00  3.07962990e-03  2.50082023e+00  2.50389954e+00  3.07930615e-03
9.53183200e-03  1.86020242e-04  2.40906655e-04  3.72312644e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28430642e+00  2.28738607e+00  3.07964845e-03  2.50091886e+00  2.50399819e+00  3.07932470e-03
9.67200600e-03  1.86029070e-04  2.40918245e-04  3.72331195e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28440505e+00  2.28748472e+00  3.07966700e-03  2.50101749e+00  2.50409683e+00  3.07934325e-03
9.81218000e-03  1.86037897e-04  2.40929833e-04  3.72349742e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28450367e+00  2.28758335e+00  3.07968555e-03  2.50111611e+00  2.50419547e+00  3.07936180e-03
9.95235400e-03  1.86046725e-04  2.40941423e-04  3.72368290e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28460228e+00  2.28768199e+00  3.07970410e-03  2.50121472e+00  2.50429410e+00  3.07938035e-03
1.00925280e-02  1.86055551e-04  2.40953011e-04  3.72386836e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28470089e+00  2.28778061e+00  3.07972265e-03  2.50131333e+00  2.50439273e+00  3.07939889e-03
1.02327020e-02  1.86064380e-04  2.40964601e-04  3.72405386e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28479949e+00  2.28787923e+00  3.07974120e-03  2.50141193e+00  2.50449135e+00  3.07941744e-03
1.03728760e-02  1.86073206e-04  2.40976188e-04  3.72423930e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28489808e+00  2.28797784e+00  3.07975974e-03  2.50151052e+00  2.50458996e+00  3.07943599e-03
1.05130500e-02  1.86082034e-04  2.40987778e-04  3.72442478e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28499667e+00  2.28807645e+00  3.07977829e-03  2.50160911e+00  2.50468856e+00  3.07945453e-03
1.06532240e-02  1.86090860e-04  2.40999365e-04  3.72461023e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28509525e+00  2.28817504e+00  3.07979683e-03  2.50170769e+00  2.50478716e+00  3.07947308e-03
1.07933980e-02  1.86099688e-04  2.41010954e-04  3.72479569e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28519382e+00  2.28827363e+00  3.07981538e-03  2.50180626e+00  2.50488575e+00  3.07949162e-03
