case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
bath,structured,3D,10,0.1,Vm,0.00030423,0.00040811,0.000857914,,
bath,structured,3D,20,0.05,Vm,7.59899e-05,0.000103095,0.000220524,1.98,1.96
bath,structured,3D,40,0.025,Vm,1.89487e-05,2.5782e-05,5.5387e-05,2.00,1.99
bath,structured,3D,80,0.0125,Vm,4.73307e-06,6.44353e-06,1.38561e-05,2.00,2.00
bath,structured,3D,10,0.1,phiE,0.0126559,0.0164119,0.0254033,,
bath,structured,3D,20,0.05,phiE,0.00318142,0.004126,0.00638879,1.99,1.99
bath,structured,3D,40,0.025,phiE,0.000796431,0.00103282,0.0015998,2.00,2.00
bath,structured,3D,80,0.0125,phiE,0.000199444,0.000258545,0.000400872,2.00,2.00
bath,structured,3D,10,0.1,phiI,0.0123858,0.0125364,0.015092,,
bath,structured,3D,20,0.05,phiI,0.00311034,0.00314833,0.00379942,1.99,1.99
bath,structured,3D,40,0.025,phiI,0.000778253,0.000787831,0.000951915,2.00,2.00
bath,structured,3D,80,0.0125,phiI,0.000194658,0.000197137,0.000238886,2.00,1.99
