case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,10,0.1,bathPhiE,0.00585127,0.00821426,0.0141732,,
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,20,0.05,bathPhiE,0.00173682,0.00244473,0.00433997,1.75,1.71
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,40,0.025,bathPhiE,0.000502714,0.000708605,0.00139643,1.79,1.64
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,80,0.0125,bathPhiE,0.000158931,0.000224103,0.000591936,1.66,1.24
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,10,0.1,heartPhiE,0.00575671,0.00606607,0.00912926,,
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,20,0.05,heartPhiE,0.00173882,0.00181197,0.00304808,1.74,1.58
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,40,0.025,heartPhiE,0.000498439,0.000516474,0.00138796,1.81,1.13
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,80,0.0125,heartPhiE,0.000158927,0.000162989,0.000607454,1.66,1.19
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,10,0.1,x0AssembledFlux,0.000358797,0.000467976,0.00155841,,
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,20,0.05,x0AssembledFlux,0.000220839,0.000294155,0.00150296,0.67,0.05
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,40,0.025,x0AssembledFlux,0.000167577,0.000226414,0.000935205,0.38,0.68
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,80,0.0125,x0AssembledFlux,0.000217392,0.00028751,0.00157565,-0.34,-0.75
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,10,0.1,x0FluxJump,0.00332478,0.00355823,0.00607131,,
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,20,0.05,x0FluxJump,0.000516503,0.00054934,0.000949462,2.70,2.68
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,40,0.025,x0FluxJump,0.000100147,0.000119073,0.000594694,2.21,0.67
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,80,0.0125,x0FluxJump,6.67053e-05,9.04047e-05,0.000905685,0.40,-0.61
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,10,0.1,x0IntracellularLeak,0.0032623,0.00350913,0.00598085,,
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,20,0.05,x0IntracellularLeak,0.000513388,0.00053449,0.000965672,2.71,2.63
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,40,0.025,x0IntracellularLeak,0.000123304,0.000132747,0.000369531,2.01,1.39
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,80,0.0125,x0IntracellularLeak,4.49339e-05,5.3683e-05,0.000188353,1.31,0.97
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,10,0.1,x1AssembledFlux,0.00035269,0.000461204,0.00181305,,
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,20,0.05,x1AssembledFlux,0.000223786,0.000302707,0.00138362,0.61,0.39
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,40,0.025,x1AssembledFlux,0.000171343,0.000228181,0.00108407,0.41,0.35
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,80,0.0125,x1AssembledFlux,0.000211707,0.000282783,0.0010681,-0.31,0.02
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,10,0.1,x1FluxJump,0.00354331,0.00379648,0.00678079,,
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,20,0.05,x1FluxJump,0.000510879,0.000543084,0.00102086,2.81,2.73
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,40,0.025,x1FluxJump,0.000103177,0.000120933,0.00065177,2.17,0.65
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,80,0.0125,x1FluxJump,6.55137e-05,9.13735e-05,0.000647596,0.40,0.01
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,10,0.1,x1IntracellularLeak,0.00348105,0.0037524,0.00674509,,
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,20,0.05,x1IntracellularLeak,0.000503671,0.000527163,0.000951287,2.83,2.83
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,40,0.025,x1IntracellularLeak,0.000126796,0.000135507,0.00036961,1.96,1.36
bath_tet,distanceWeightedHarmonic/matchedSubmesh,3D,80,0.0125,x1IntracellularLeak,4.71912e-05,5.6129e-05,0.000217327,1.27,0.77
