metric,serial,parallel,absoluteDifference,tolerance,pass
interfaceFaces,1888.0,1888.0,0.0,1.88801e-05,True
heartPhiE_L1,0.00177589,0.00177589,0.0,1.177589e-10,True
heartPhiE_L2,0.0018494,0.0018494,0.0,1.18494e-10,True
heartPhiE_Linf,0.00584751,0.00584751,0.0,1.584751e-10,True
bathPhiE_L1,0.00176874,0.00176874,0.0,1.176874e-10,True
bathPhiE_L2,0.00249094,0.00249094,0.0,1.249094e-10,True
bathPhiE_Linf,0.00483514,0.00483514,0.0,1.483514e-10,True
x0PhiE_L1,0.00164345,0.00164345,0.0,1.1643450000000002e-10,True
x0PhiE_L2,0.00168902,0.00168902,0.0,1.168902e-10,True
x0PhiE_Linf,0.00252541,0.00252541,0.0,1.252541e-10,True
x1PhiE_L1,0.00190203,0.00190203,0.0,1.190203e-10,True
x1PhiE_L2,0.00194048,0.00194048,0.0,1.194048e-10,True
x1PhiE_Linf,0.00450839,0.00450839,0.0,1.450839e-10,True
x0TraceJump_L1,0.000950235,0.000950235,0.0,1.0950235000000001e-10,True
x0TraceJump_L2,0.00096452,0.00096452,0.0,1.096452e-10,True
x0TraceJump_Linf,0.0013394,0.0013394,0.0,1.13394e-10,True
x1TraceJump_L1,0.000929034,0.000929034,0.0,1.0929034000000001e-10,True
x1TraceJump_L2,0.000942168,0.000942168,0.0,1.0942168000000001e-10,True
x1TraceJump_Linf,0.00128907,0.00128907,0.0,1.128907e-10,True
x0HeartFlux_L1,0.00035275,0.00035275,0.0,1.0352750000000001e-10,True
x0HeartFlux_L2,0.000401862,0.000401862,0.0,1.0401862e-10,True
x0HeartFlux_Linf,0.000861092,0.000861092,0.0,1.0861092e-10,True
x0BathFlux_L1,9.36006e-05,9.36006e-05,0.0,1.00936006e-10,True
x0BathFlux_L2,9.95189e-05,9.95189e-05,0.0,1.0099518900000001e-10,True
x0BathFlux_Linf,0.000268013,0.000268013,0.0,1.0268013e-10,True
x0FluxJump_L1,0.000434453,0.000434453,0.0,1.0434453e-10,True
x0FluxJump_L2,0.000481789,0.000481789,0.0,1.0481789e-10,True
x0FluxJump_Linf,0.000950797,0.000950797,0.0,1.0950797e-10,True
x1HeartFlux_L1,0.000346251,0.000346251,0.0,1.0346251e-10,True
x1HeartFlux_L2,0.000395245,0.000395245,0.0,1.0395245e-10,True
x1HeartFlux_Linf,0.000889965,0.000889965,0.0,1.0889965e-10,True
x1BathFlux_L1,9.31292e-05,9.31292e-05,0.0,1.00931292e-10,True
x1BathFlux_L2,9.81004e-05,9.81004e-05,0.0,1.0098100400000001e-10,True
x1BathFlux_Linf,0.000242348,0.000242348,0.0,1.0242348e-10,True
x1FluxJump_L1,0.000430717,0.000430717,0.0,1.0430717000000001e-10,True
x1FluxJump_L2,0.000475814,0.000475814,0.0,1.0475814000000001e-10,True
x1FluxJump_Linf,0.000976734,0.000976734,0.0,1.0976734e-10,True
x0IntracellularLeak_L1,0.000674558,0.000674558,0.0,1.0674558e-10,True
x0IntracellularLeak_L2,0.000696901,0.000696901,0.0,1.0696901e-10,True
x0IntracellularLeak_Linf,0.00117556,0.00117556,0.0,1.117556e-10,True
x1IntracellularLeak_L1,0.000650743,0.000650743,0.0,1.0650743e-10,True
x1IntracellularLeak_L2,0.000673465,0.000673465,0.0,1.0673465e-10,True
x1IntracellularLeak_Linf,0.00116122,0.00116122,0.0,1.116122e-10,True
x0IntracellularLeakIntegral,0.000674558,0.000674558,0.0,1.0674558e-10,True
x1IntracellularLeakIntegral,-0.000650743,-0.000650743,0.0,1.0650743e-10,True
x0AssembledFlux_L1,0.000399471,0.000399471,0.0,1.0399471e-10,True
x0AssembledFlux_L2,0.000550432,0.000550432,0.0,1.0550432000000001e-10,True
x0AssembledFlux_Linf,0.00246528,0.00246528,0.0,1.246528e-10,True
x1AssembledFlux_L1,0.000384057,0.000384057,0.0,1.0384057e-10,True
x1AssembledFlux_L2,0.000539784,0.000539784,0.0,1.0539784e-10,True
x1AssembledFlux_Linf,0.00231385,0.00231385,0.0,1.2313850000000001e-10,True
x0CorrectionFlux_L1,0.000162102,0.000162102,0.0,1.0162102e-10,True
x0CorrectionFlux_L2,0.0002367,0.0002367,0.0,1.02367e-10,True
x0CorrectionFlux_Linf,0.00112297,0.00112297,0.0,1.1122970000000001e-10,True
x1CorrectionFlux_L1,0.000155241,0.000155241,0.0,1.0155241000000001e-10,True
x1CorrectionFlux_L2,0.000224478,0.000224478,0.0,1.0224478000000001e-10,True
x1CorrectionFlux_Linf,0.00093186,0.00093186,0.0,1.0931860000000001e-10,True
x0OrthogonalFlux_L1,0.000369033,0.000369033,0.0,1.0369033e-10,True
x0OrthogonalFlux_L2,0.000516309,0.000516309,0.0,1.0516309e-10,True
x0OrthogonalFlux_Linf,0.00246528,0.00246528,0.0,1.246528e-10,True
x1OrthogonalFlux_L1,0.000352348,0.000352348,0.0,1.0352348e-10,True
x1OrthogonalFlux_L2,0.000499294,0.000499294,0.0,1.0499294000000001e-10,True
x1OrthogonalFlux_Linf,0.00233272,0.00233272,0.0,1.2332720000000001e-10,True
xMinPhiE_L1,0.0,0.0,0.0,1e-10,True
xMinPhiE_L2,0.0,0.0,0.0,1e-10,True
xMinPhiE_Linf,0.0,0.0,0.0,1e-10,True
xMaxFlux_L1,2.7075e-09,2.7075e-09,0.0,1.00000027075e-10,True
xMaxFlux_L2,2.7075e-09,2.7075e-09,0.0,1.00000027075e-10,True
xMaxFlux_Linf,2.7075e-09,2.7075e-09,0.0,1.00000027075e-10,True
sidesFlux_L1,0.0,0.0,0.0,1e-10,True
sidesFlux_L2,0.0,0.0,0.0,1e-10,True
sidesFlux_Linf,0.0,0.0,0.0,1e-10,True
