metric,serial,parallel,absoluteDifference,tolerance,pass
interfaceFaces,488.0,488.0,0.0,4.8801e-06,True
heartPhiE_L1,0.00567423,0.00567423,0.0,1.567423e-10,True
heartPhiE_L2,0.00599113,0.00599113,0.0,1.5991130000000002e-10,True
heartPhiE_Linf,0.0114491,0.0114491,0.0,2.14491e-10,True
bathPhiE_L1,0.00577256,0.00577256,0.0,1.577256e-10,True
bathPhiE_L2,0.00808792,0.00808792,0.0,1.808792e-10,True
bathPhiE_Linf,0.0145832,0.0145832,0.0,2.45832e-10,True
x0PhiE_L1,0.003167,0.003167,0.0,1.3167e-10,True
x0PhiE_L2,0.00328482,0.00328482,0.0,1.328482e-10,True
x0PhiE_Linf,0.00547472,0.00547472,0.0,1.547472e-10,True
x1PhiE_L1,0.00823324,0.00823324,0.0,1.823324e-10,True
x1PhiE_L2,0.00828165,0.00828165,0.0,1.8281650000000002e-10,True
x1PhiE_Linf,0.0119929,0.0119929,0.0,2.1992900000000003e-10,True
x0TraceJump_L1,0.0051791,0.0051791,0.0,1.51791e-10,True
x0TraceJump_L2,0.00536926,0.00536926,0.0,1.5369260000000002e-10,True
x0TraceJump_Linf,0.00829729,0.00829729,0.0,1.829729e-10,True
x1TraceJump_L1,0.00546073,0.00546073,0.0,1.5460730000000001e-10,True
x1TraceJump_L2,0.00565735,0.00565735,0.0,1.565735e-10,True
x1TraceJump_Linf,0.00903718,0.00903718,0.0,1.9037180000000002e-10,True
x0HeartFlux_L1,0.00332274,0.00332274,0.0,1.332274e-10,True
x0HeartFlux_L2,0.00356386,0.00356386,0.0,1.356386e-10,True
x0HeartFlux_Linf,0.00611379,0.00611379,0.0,1.611379e-10,True
x0BathFlux_L1,8.5739e-05,8.5739e-05,0.0,1.0085739000000001e-10,True
x0BathFlux_L2,0.000111103,0.000111103,0.0,1.0111103e-10,True
x0BathFlux_Linf,0.000298029,0.000298029,0.0,1.0298029e-10,True
x0FluxJump_L1,0.00338899,0.00338899,0.0,1.338899e-10,True
x0FluxJump_L2,0.00360957,0.00360957,0.0,1.360957e-10,True
x0FluxJump_Linf,0.00612481,0.00612481,0.0,1.612481e-10,True
x1HeartFlux_L1,0.00355505,0.00355505,0.0,1.3555050000000002e-10,True
x1HeartFlux_L2,0.00381453,0.00381453,0.0,1.381453e-10,True
x1HeartFlux_Linf,0.00671744,0.00671744,0.0,1.671744e-10,True
x1BathFlux_L1,8.8694e-05,8.8694e-05,0.0,1.0088694e-10,True
x1BathFlux_L2,0.000106355,0.000106355,0.0,1.0106355e-10,True
x1BathFlux_Linf,0.000277846,0.000277846,0.0,1.0277846000000001e-10,True
x1FluxJump_L1,0.00362211,0.00362211,0.0,1.362211e-10,True
x1FluxJump_L2,0.0038667,0.0038667,0.0,1.38667e-10,True
x1FluxJump_Linf,0.00681607,0.00681607,0.0,1.681607e-10,True
xMinPhiE_L1,0.0,0.0,0.0,1e-10,True
xMinPhiE_L2,0.0,0.0,0.0,1e-10,True
xMinPhiE_Linf,0.0,0.0,0.0,1e-10,True
xMaxFlux_L1,2.7075e-09,2.7075e-09,0.0,1.00000027075e-10,True
xMaxFlux_L2,2.7075e-09,2.7075e-09,0.0,1.00000027075e-10,True
xMaxFlux_Linf,2.7075e-09,2.7075e-09,0.0,1.00000027075e-10,True
sidesFlux_L1,0.0,0.0,0.0,1e-10,True
sidesFlux_L2,0.0,0.0,0.0,1e-10,True
sidesFlux_Linf,0.0,0.0,0.0,1e-10,True
exteriorFluxIntegral,2.02527e-09,2.02527e-09,0.0,1.0000002025270001e-10,True
