metric,serial,parallel,absoluteDifference,tolerance,pass
interfaceFaces,1888.0,1888.0,0.0,1.88801e-05,True
heartPhiE_L1,0.00173882,0.00173882,0.0,1.1738820000000002e-10,True
heartPhiE_L2,0.00181197,0.00181197,0.0,1.181197e-10,True
heartPhiE_Linf,0.00304808,0.00304808,0.0,1.304808e-10,True
bathPhiE_L1,0.00173682,0.00173682,0.0,1.173682e-10,True
bathPhiE_L2,0.00244473,0.00244473,0.0,1.244473e-10,True
bathPhiE_Linf,0.00433997,0.00433997,0.0,1.433997e-10,True
x0PhiE_L1,0.00166476,0.00166476,0.0,1.1664760000000002e-10,True
x0PhiE_L2,0.00167693,0.00167693,0.0,1.167693e-10,True
x0PhiE_Linf,0.00217784,0.00217784,0.0,1.217784e-10,True
x1PhiE_L1,0.00181148,0.00181148,0.0,1.181148e-10,True
x1PhiE_L2,0.00182216,0.00182216,0.0,1.182216e-10,True
x1PhiE_Linf,0.0026946,0.0026946,0.0,1.26946e-10,True
x0TraceJump_L1,0.000980897,0.000980897,0.0,1.0980897e-10,True
x0TraceJump_L2,0.000991982,0.000991982,0.0,1.0991982e-10,True
x0TraceJump_Linf,0.00135681,0.00135681,0.0,1.135681e-10,True
x1TraceJump_L1,0.000963158,0.000963158,0.0,1.0963158000000001e-10,True
x1TraceJump_L2,0.000974175,0.000974175,0.0,1.0974175e-10,True
x1TraceJump_Linf,0.0012978,0.0012978,0.0,1.12978e-10,True
x0HeartFlux_L1,0.000420188,0.000420188,0.0,1.0420188e-10,True
x0HeartFlux_L2,0.000460673,0.000460673,0.0,1.0460673e-10,True
x0HeartFlux_Linf,0.000886271,0.000886271,0.0,1.0886271e-10,True
x0BathFlux_L1,9.73735e-05,9.73735e-05,0.0,1.00973735e-10,True
x0BathFlux_L2,0.000101955,0.000101955,0.0,1.0101955e-10,True
x0BathFlux_Linf,0.00024422,0.00024422,0.0,1.024422e-10,True
x0FluxJump_L1,0.000516503,0.000516503,0.0,1.0516503e-10,True
x0FluxJump_L2,0.00054934,0.00054934,0.0,1.054934e-10,True
x0FluxJump_Linf,0.000949462,0.000949462,0.0,1.0949462e-10,True
x1HeartFlux_L1,0.000417024,0.000417024,0.0,1.0417024e-10,True
x1HeartFlux_L2,0.000456354,0.000456354,0.0,1.0456354e-10,True
x1HeartFlux_Linf,0.000931105,0.000931105,0.0,1.0931105000000001e-10,True
x1BathFlux_L1,9.49697e-05,9.49697e-05,0.0,1.00949697e-10,True
x1BathFlux_L2,9.93533e-05,9.93533e-05,0.0,1.0099353300000001e-10,True
x1BathFlux_Linf,0.000222857,0.000222857,0.0,1.0222857000000001e-10,True
x1FluxJump_L1,0.000510879,0.000510879,0.0,1.0510879e-10,True
x1FluxJump_L2,0.000543084,0.000543084,0.0,1.0543084e-10,True
x1FluxJump_Linf,0.00102086,0.00102086,0.0,1.102086e-10,True
x0IntracellularLeak_L1,0.000513388,0.000513388,0.0,1.0513388000000001e-10,True
x0IntracellularLeak_L2,0.00053449,0.00053449,0.0,1.053449e-10,True
x0IntracellularLeak_Linf,0.000965672,0.000965672,0.0,1.0965672e-10,True
x1IntracellularLeak_L1,0.000503671,0.000503671,0.0,1.0503671000000001e-10,True
x1IntracellularLeak_L2,0.000527163,0.000527163,0.0,1.0527163e-10,True
x1IntracellularLeak_Linf,0.000951287,0.000951287,0.0,1.0951287000000001e-10,True
x0IntracellularLeakIntegral,0.000513388,0.000513388,0.0,1.0513388000000001e-10,True
x1IntracellularLeakIntegral,-0.000503671,-0.000503671,0.0,1.0503671000000001e-10,True
x0AssembledFlux_L1,0.000220839,0.000220839,0.0,1.0220839e-10,True
x0AssembledFlux_L2,0.000294155,0.000294155,0.0,1.0294155e-10,True
x0AssembledFlux_Linf,0.00150296,0.00150296,0.0,1.150296e-10,True
x1AssembledFlux_L1,0.000223786,0.000223786,0.0,1.0223786e-10,True
x1AssembledFlux_L2,0.000302707,0.000302707,0.0,1.0302707000000001e-10,True
x1AssembledFlux_Linf,0.00138362,0.00138362,0.0,1.1383620000000001e-10,True
x0CorrectionFlux_L1,0.000157059,0.000157059,0.0,1.0157059000000001e-10,True
x0CorrectionFlux_L2,0.00023443,0.00023443,0.0,1.023443e-10,True
x0CorrectionFlux_Linf,0.00106008,0.00106008,0.0,1.1060080000000001e-10,True
x1CorrectionFlux_L1,0.000151097,0.000151097,0.0,1.0151097e-10,True
x1CorrectionFlux_L2,0.000224149,0.000224149,0.0,1.0224149000000001e-10,True
x1CorrectionFlux_Linf,0.000946738,0.000946738,0.0,1.0946738e-10,True
x0OrthogonalFlux_L1,0.000216622,0.000216622,0.0,1.0216622000000001e-10,True
x0OrthogonalFlux_L2,0.00028666,0.00028666,0.0,1.028666e-10,True
x0OrthogonalFlux_Linf,0.00151834,0.00151834,0.0,1.1518340000000001e-10,True
x1OrthogonalFlux_L1,0.000216435,0.000216435,0.0,1.0216435e-10,True
x1OrthogonalFlux_L2,0.00029116,0.00029116,0.0,1.029116e-10,True
x1OrthogonalFlux_Linf,0.00138805,0.00138805,0.0,1.138805e-10,True
exactHeartInterfaceResidual_L1,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceResidual_L2,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceResidual_Linf,0.0,0.0,0.0,1e-10,True
exactHeartBulkResidual_L1,0.0,0.0,0.0,1e-10,True
exactHeartBulkResidual_L2,0.0,0.0,0.0,1e-10,True
exactHeartBulkResidual_Linf,0.0,0.0,0.0,1e-10,True
exactBathInterfaceResidual_L1,0.0,0.0,0.0,1e-10,True
exactBathInterfaceResidual_L2,0.0,0.0,0.0,1e-10,True
exactBathInterfaceResidual_Linf,0.0,0.0,0.0,1e-10,True
exactBathBulkResidual_L1,0.0,0.0,0.0,1e-10,True
exactBathBulkResidual_L2,0.0,0.0,0.0,1e-10,True
exactBathBulkResidual_Linf,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceLhsError_L1,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceLhsError_L2,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceLhsError_Linf,0.0,0.0,0.0,1e-10,True
exactHeartBulkLhsError_L1,0.0,0.0,0.0,1e-10,True
exactHeartBulkLhsError_L2,0.0,0.0,0.0,1e-10,True
exactHeartBulkLhsError_Linf,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceRhsError_L1,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceRhsError_L2,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceRhsError_Linf,0.0,0.0,0.0,1e-10,True
exactHeartBulkRhsError_L1,0.0,0.0,0.0,1e-10,True
exactHeartBulkRhsError_L2,0.0,0.0,0.0,1e-10,True
exactHeartBulkRhsError_Linf,0.0,0.0,0.0,1e-10,True
matchedHeartInterfaceResidual_L1,0.0,0.0,0.0,1e-10,True
matchedHeartInterfaceResidual_L2,0.0,0.0,0.0,1e-10,True
matchedHeartInterfaceResidual_Linf,0.0,0.0,0.0,1e-10,True
matchedHeartBulkResidual_L1,0.0,0.0,0.0,1e-10,True
matchedHeartBulkResidual_L2,0.0,0.0,0.0,1e-10,True
matchedHeartBulkResidual_Linf,0.0,0.0,0.0,1e-10,True
matchedBathInterfaceResidual_L1,0.0,0.0,0.0,1e-10,True
matchedBathInterfaceResidual_L2,0.0,0.0,0.0,1e-10,True
matchedBathInterfaceResidual_Linf,0.0,0.0,0.0,1e-10,True
matchedBathBulkResidual_L1,0.0,0.0,0.0,1e-10,True
matchedBathBulkResidual_L2,0.0,0.0,0.0,1e-10,True
matchedBathBulkResidual_Linf,0.0,0.0,0.0,1e-10,True
xMinPhiE_L1,0.0,0.0,0.0,1e-10,True
xMinPhiE_L2,0.0,0.0,0.0,1e-10,True
xMinPhiE_Linf,0.0,0.0,0.0,1e-10,True
