case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
bidomain,,1D,10,0.1,Vm,0.000203678,0.000277855,0.000557402,,
bidomain,,1D,20,0.05,Vm,5.0277e-05,6.94734e-05,0.000141056,2.00,1.98
bidomain,,1D,40,0.025,Vm,1.24971e-05,1.73268e-05,3.52735e-05,2.00,2.00
bidomain,,1D,80,0.0125,Vm,3.11825e-06,4.32623e-06,8.81281e-06,2.00,2.00
bidomain,,1D,10,0.1,phiE_gauge,0.000155448,0.000172205,0.000299183,,
bidomain,,1D,20,0.05,phiE_gauge,3.8071e-05,4.24421e-05,7.49905e-05,2.02,2.00
bidomain,,1D,40,0.025,phiE_gauge,9.44291e-06,1.05447e-05,1.87031e-05,2.01,2.00
bidomain,,1D,80,0.0125,phiE_gauge,2.35398e-06,2.62979e-06,4.66885e-06,2.00,2.00
bidomain,,1D,10,0.1,phiI_gauge,0.000137357,0.000153862,0.000258219,,
bidomain,,1D,20,0.05,phiI_gauge,3.51986e-05,3.92888e-05,6.60655e-05,1.97,1.97
bidomain,,1D,40,0.025,phiI_gauge,8.83394e-06,9.85174e-06,1.65704e-05,2.00,2.00
bidomain,,1D,80,0.0125,phiI_gauge,2.20903e-06,2.46329e-06,4.14396e-06,2.00,2.00
bidomain,,1D,10,0.1,u1,0.000435862,0.000490198,0.00080965,,
bidomain,,1D,20,0.05,u1,0.000110752,0.000124872,0.000208904,1.97,1.95
bidomain,,1D,40,0.025,u1,2.77348e-05,3.12905e-05,5.25928e-05,2.00,1.99
bidomain,,1D,80,0.0125,u1,6.93087e-06,7.82073e-06,1.31718e-05,2.00,2.00
bidomain,,1D,10,0.1,u2,0.00011526,0.000136742,0.000268983,,
bidomain,,1D,20,0.05,u2,2.91479e-05,3.46888e-05,7.11043e-05,1.98,1.92
bidomain,,1D,40,0.025,u2,7.29337e-06,8.68664e-06,1.81596e-05,2.00,1.97
bidomain,,1D,80,0.0125,u2,1.82293e-06,2.17162e-06,4.5842e-06,2.00,1.99
bidomain,,2D,10,0.1,Vm,0.000414625,0.000536903,0.00127399,,
bidomain,,2D,20,0.05,Vm,0.000112183,0.000140507,0.000349898,1.93,1.86
bidomain,,2D,40,0.025,Vm,2.82542e-05,3.55072e-05,8.94394e-05,1.98,1.97
bidomain,,2D,80,0.0125,Vm,7.0663e-06,8.88808e-06,2.24563e-05,2.00,1.99
bidomain,,2D,10,0.1,phiE_gauge,0.000297515,0.000370014,0.000835809,,
bidomain,,2D,20,0.05,phiE_gauge,7.95761e-05,9.80418e-05,0.00023303,1.92,1.84
bidomain,,2D,40,0.025,phiE_gauge,2.01636e-05,2.48513e-05,5.97845e-05,1.98,1.96
bidomain,,2D,80,0.0125,phiE_gauge,5.05441e-06,6.2253e-06,1.50236e-05,2.00,1.99
bidomain,,2D,10,0.1,phiI_gauge,0.00013963,0.000178597,0.000438177,,
bidomain,,2D,20,0.05,phiI_gauge,3.52809e-05,4.54369e-05,0.000116868,1.97,1.91
bidomain,,2D,40,0.025,phiI_gauge,8.85899e-06,1.13983e-05,2.96549e-05,2.00,1.98
bidomain,,2D,80,0.0125,phiI_gauge,2.21407e-06,2.84837e-06,7.43271e-06,2.00,2.00
bidomain,,2D,10,0.1,u1,0.000189858,0.000244219,0.000555755,,
bidomain,,2D,20,0.05,u1,4.88504e-05,6.06731e-05,0.000145265,2.01,1.94
bidomain,,2D,40,0.025,u1,1.21147e-05,1.51024e-05,3.66151e-05,2.01,1.99
bidomain,,2D,80,0.0125,u1,3.02176e-06,3.77053e-06,9.17465e-06,2.00,2.00
bidomain,,2D,10,0.1,u2,7.26851e-05,9.49119e-05,0.000217816,,
bidomain,,2D,20,0.05,u2,1.86056e-05,2.34851e-05,5.69942e-05,2.01,1.93
bidomain,,2D,40,0.025,u2,4.60982e-06,5.84205e-06,1.43753e-05,2.01,1.99
bidomain,,2D,80,0.0125,u2,1.15e-06,1.45885e-06,3.6019e-06,2.00,2.00
bidomain,,3D,10,0.1,Vm,0.000743839,0.00104608,0.00296267,,
bidomain,,3D,20,0.05,Vm,0.000200936,0.000273949,0.00081882,1.93,1.86
bidomain,,3D,40,0.025,Vm,5.05422e-05,6.92231e-05,0.000209626,1.98,1.97
bidomain,,3D,80,0.0125,Vm,1.26384e-05,1.73295e-05,5.26544e-05,2.00,1.99
bidomain,,3D,10,0.1,phiE_gauge,0.000525578,0.000733261,0.00205494,,
