case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
bidomain_tet,GaussLinear,3D,10,0.0588235,Phi_e,,0.00978644,0.0555062,,
bidomain_tet,GaussLinear,3D,20,0.030303,Phi_e,,0.00570045,0.0442665,0.81,0.34
bidomain_tet,GaussLinear,3D,40,0.0151515,Phi_e,,0.00356429,0.0319475,0.68,0.47
bidomain_tet,GaussLinear,3D,80,0.00757576,Phi_e,,0.00266348,0.0191938,0.42,0.74
bidomain_tet,GaussLinear,3D,10,0.0588235,Vm,,0.0138302,0.078321,,
bidomain_tet,GaussLinear,3D,20,0.030303,Vm,,0.00804885,0.0625737,0.82,0.34
bidomain_tet,GaussLinear,3D,40,0.0151515,Vm,,0.00503492,0.0452211,0.68,0.47
bidomain_tet,GaussLinear,3D,80,0.00757576,Vm,,0.00375992,0.0271081,0.42,0.74
bidomain_tet,leastSquares,3D,10,0.0588235,Phi_e,,0.00487989,0.0271954,,
bidomain_tet,leastSquares,3D,20,0.030303,Phi_e,,0.00170904,0.0117638,1.58,1.26
bidomain_tet,leastSquares,3D,40,0.0151515,Phi_e,,0.000447241,0.00412343,1.93,1.51
bidomain_tet,leastSquares,3D,80,0.00757576,Phi_e,,0.000124143,0.0107788,1.85,-1.39
bidomain_tet,leastSquares,3D,10,0.0588235,Vm,,0.00690504,0.0388512,,
bidomain_tet,leastSquares,3D,20,0.030303,Vm,,0.00241266,0.016827,1.59,1.26
bidomain_tet,leastSquares,3D,40,0.0151515,Vm,,0.000631599,0.00578592,1.93,1.54
bidomain_tet,leastSquares,3D,80,0.00757576,Vm,,0.000161149,0.0104651,1.97,-0.85
