case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
bidomain_tet,GaussLinear,3D,10,0.0588235,Phi_e,,0.010246,0.055506,,
bidomain_tet,GaussLinear,3D,20,0.030303,Phi_e,,0.00597427,0.0442683,0.81,0.34
bidomain_tet,GaussLinear,3D,40,0.0151515,Phi_e,,0.00365463,0.031948,0.71,0.47
bidomain_tet,GaussLinear,3D,80,0.00757576,Phi_e,,0.00269257,0.0191601,0.44,0.74
bidomain_tet,GaussLinear,3D,10,0.0588235,Vm,,0.0144744,0.0783211,,
bidomain_tet,GaussLinear,3D,20,0.030303,Vm,,0.00843507,0.0625735,0.81,0.34
bidomain_tet,GaussLinear,3D,40,0.0151515,Vm,,0.00516272,0.045221,0.71,0.47
bidomain_tet,GaussLinear,3D,80,0.00757576,Vm,,0.00380403,0.0271082,0.44,0.74
bidomain_tet,leastSquares,3D,10,0.0588235,Phi_e,,0.00505668,0.0271956,,
bidomain_tet,leastSquares,3D,20,0.030303,Phi_e,,0.00176601,0.0117656,1.59,1.26
bidomain_tet,leastSquares,3D,40,0.0151515,Phi_e,,0.000460868,0.00410751,1.94,1.52
bidomain_tet,leastSquares,3D,80,0.00757576,Phi_e,,0.0001284,0.0108502,1.84,-1.40
bidomain_tet,leastSquares,3D,10,0.0588235,Vm,,0.00712649,0.0388513,,
bidomain_tet,leastSquares,3D,20,0.030303,Vm,,0.0024856,0.0168274,1.59,1.26
bidomain_tet,leastSquares,3D,40,0.0151515,Vm,,0.000647575,0.00578544,1.94,1.54
bidomain_tet,leastSquares,3D,80,0.00757576,Vm,,0.000165639,0.0104587,1.97,-0.85
