case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
eikonal,,1D,10,0.1,Phi_e_max,1.47741000e+00,1.64010000e+00,2.31364000e+00,,
eikonal,,1D,20,0.05,Phi_e_max,1.47849000e+00,1.64129000e+00,2.31525000e+00,-0.00,-0.00
eikonal,,1D,40,0.025,Phi_e_max,1.47878000e+00,1.64161000e+00,2.31569000e+00,-0.00,-0.00
eikonal,,1D,80,0.0125,Phi_e_max,1.47885000e+00,1.64169000e+00,2.31579000e+00,-0.00,-0.00
eikonal,,1D,10,0.1,Phi_e_mean,5.38037800e-01,5.97349400e-01,8.42888800e-01,,
eikonal,,1D,20,0.05,Phi_e_mean,5.38482800e-01,5.97841200e-01,8.43563400e-01,-0.00,-0.00
eikonal,,1D,40,0.025,Phi_e_mean,5.38592400e-01,5.97962400e-01,8.43731200e-01,-0.00,-0.00
eikonal,,1D,80,0.0125,Phi_e_mean,5.38618600e-01,5.97991800e-01,8.43770000e-01,-0.00,-0.00
eikonal,,1D,10,0.1,psi,0.00158772,0.00215763,0.00486533,,
eikonal,,1D,20,0.05,psi,0.000357825,0.000459286,0.00102036,2.23,2.25
eikonal,,1D,40,0.025,psi,8.6003e-05,0.000107676,0.000233166,2.09,2.13
eikonal,,1D,80,0.0125,psi,2.11452e-05,2.61744e-05,5.56631e-05,2.04,2.07
eikonal,,2D,10,0.1,psi,0.00288871,0.00415336,0.0121584,,
eikonal,,2D,20,0.05,psi,0.000678143,0.000924422,0.00263234,2.17,2.21
eikonal,,2D,40,0.025,psi,0.000164609,0.000219097,0.000614862,2.08,2.10
eikonal,,2D,80,0.0125,psi,4.05747e-05,5.34085e-05,0.000148828,2.04,2.05
eikonal,,3D,10,0.1,Phi_e_max,3.48315000e-01,3.86676000e-01,5.46363000e-01,,
eikonal,,3D,20,0.05,Phi_e_max,4.34139000e-03,4.82046000e-03,6.80343000e-03,6.33,6.33
eikonal,,3D,40,0.025,Phi_e_max,3.33422000e-05,3.70232000e-05,5.22446000e-05,7.02,7.02
eikonal,,3D,80,0.0125,Phi_e_max,7.14328000e-06,7.93121000e-06,1.11883000e-05,2.22,2.22
eikonal,,3D,10,0.1,Phi_e_mean,2.64898800e-01,2.94064200e-01,4.15307400e-01,,
eikonal,,3D,20,0.05,Phi_e_mean,1.74353160e-03,1.93635960e-03,2.73514400e-03,7.25,7.25
eikonal,,3D,40,0.025,Phi_e_mean,2.57679400e-05,2.86098800e-05,4.03796000e-05,6.08,6.08
eikonal,,3D,80,0.0125,Phi_e_mean,5.92869800e-06,6.58266400e-06,9.28982000e-06,2.12,2.12
eikonal,,3D,10,0.1,psi,0.00483561,0.00752141,0.0310654,,
eikonal,,3D,20,0.05,psi,0.00117337,0.00169908,0.0069115,2.15,2.17
eikonal,,3D,40,0.025,psi,0.000287991,0.000404154,0.0016417,2.07,2.07
eikonal,,3D,80,0.0125,psi,7.12735e-05,9.8607e-05,0.000400945,2.04,2.03
