case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
coupling,active,1D,10,0.1,Vm,0.000139774,0.000180967,0.000343166,,
coupling,active,1D,20,0.05,Vm,3.54836e-05,4.56521e-05,8.84752e-05,1.99,1.96
coupling,active,1D,40,0.025,Vm,8.72277e-06,1.11948e-05,2.19562e-05,2.03,2.01
coupling,active,1D,80,0.0125,Vm,2.17376e-06,2.78727e-06,5.50037e-06,2.01,2.00
coupling,active,3D,10,0.1,Vm,0.00130059,0.00182482,0.00495983,,
coupling,active,3D,20,0.05,Vm,0.000355224,0.000482111,0.0013812,1.92,1.84
coupling,active,3D,40,0.025,Vm,8.80475e-05,0.000120065,0.000348594,2.01,1.99
coupling,active,3D,80,0.0125,Vm,2.20606e-05,3.01175e-05,8.77337e-05,2.00,1.99
coupling,bidirectional,1D,10,0.1,Vm,0.000138011,0.000179137,0.000334285,,
coupling,bidirectional,1D,20,0.05,Vm,3.52834e-05,4.54348e-05,8.70474e-05,1.98,1.94
coupling,bidirectional,1D,40,0.025,Vm,8.70179e-06,1.11716e-05,2.1777e-05,2.02,2.00
coupling,bidirectional,1D,80,0.0125,Vm,2.17143e-06,2.78465e-06,5.47495e-06,2.00,1.99
coupling,bidirectional,3D,10,0.1,Vm,0.00130063,0.00182484,0.00495983,,
coupling,bidirectional,3D,20,0.05,Vm,0.000355227,0.000482116,0.0013812,1.92,1.84
coupling,bidirectional,3D,40,0.025,Vm,8.80481e-05,0.000120065,0.000348594,2.01,1.99
coupling,bidirectional,3D,80,0.0125,Vm,2.20606e-05,3.01176e-05,8.77337e-05,2.00,1.99
coupling,decoupled,1D,10,0.1,Vm,0.00270323,0.00300658,0.00423161,,
coupling,decoupled,1D,20,0.05,Vm,0.000661971,0.000735092,0.0010577,2.03,2.00
coupling,decoupled,1D,40,0.025,Vm,0.000163744,0.000181899,0.000264621,2.01,2.00
coupling,decoupled,1D,80,0.0125,Vm,4.06644e-05,4.51972e-05,6.61514e-05,2.01,2.00
coupling,decoupled,3D,10,0.1,Vm,0.00132166,0.00185713,0.00496035,,
coupling,decoupled,3D,20,0.05,Vm,0.0003602,0.000490551,0.00138242,1.92,1.84
coupling,decoupled,3D,40,0.025,Vm,8.92947e-05,0.000122176,0.000349941,2.01,1.98
coupling,decoupled,3D,80,0.0125,Vm,2.23787e-05,3.06576e-05,8.91154e-05,1.99,1.97
