case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
monodomain-spatial,,1D,10,0.1,Vm,0.000155996,0.000217557,0.000440911,,
monodomain-spatial,,1D,20,0.05,Vm,3.89367e-05,5.43915e-05,0.000111135,2.00,1.99
monodomain-spatial,,1D,40,0.025,Vm,9.73533e-06,1.35588e-05,2.77531e-05,2.00,2.00
monodomain-spatial,,1D,80,0.0125,Vm,2.43239e-06,3.38578e-06,6.93339e-06,2.00,2.00
monodomain-spatial,,1D,10,0.1,u1,0.000426586,0.000479779,0.000792742,,
monodomain-spatial,,1D,20,0.05,u1,0.000108266,0.000122072,0.00020439,1.97,1.96
monodomain-spatial,,1D,40,0.025,u1,2.71031e-05,3.05787e-05,5.14542e-05,2.00,1.99
monodomain-spatial,,1D,80,0.0125,u1,6.7727e-06,7.64249e-06,1.28874e-05,2.00,2.00
monodomain-spatial,,1D,10,0.1,u2,0.00011279,0.000133816,0.000263346,,
monodomain-spatial,,1D,20,0.05,u2,2.84887e-05,3.39057e-05,6.95617e-05,1.98,1.92
monodomain-spatial,,1D,40,0.025,u2,7.12599e-06,8.48767e-06,1.77648e-05,2.00,1.97
monodomain-spatial,,1D,80,0.0125,u2,1.78102e-06,2.12179e-06,4.48481e-06,2.00,1.99
monodomain-spatial,,2D,10,0.1,Vm,0.00180371,0.00228868,0.00446872,,
monodomain-spatial,,2D,20,0.05,Vm,0.000484355,0.000594658,0.0012128,1.94,1.88
monodomain-spatial,,2D,40,0.025,Vm,0.000121687,0.000149973,0.000309121,1.99,1.97
monodomain-spatial,,2D,80,0.0125,Vm,3.04192e-05,3.75261e-05,7.75579e-05,2.00,1.99
monodomain-spatial,,2D,10,0.1,u1,1.69403e-05,2.13324e-05,4.70338e-05,,
monodomain-spatial,,2D,20,0.05,u1,1.72853e-06,2.37139e-06,7.7593e-06,3.17,2.60
monodomain-spatial,,2D,40,0.025,u1,4.87194e-07,7.86414e-07,2.93635e-06,1.59,1.40
monodomain-spatial,,2D,80,0.0125,u1,1.25254e-07,2.07493e-07,7.76928e-07,1.92,1.92
monodomain-spatial,,2D,10,0.1,u2,6.46953e-06,9.16837e-06,2.82591e-05,,
monodomain-spatial,,2D,20,0.05,u2,6.75975e-07,9.63773e-07,3.05714e-06,3.25,3.21
monodomain-spatial,,2D,40,0.025,u2,1.76485e-07,2.83719e-07,1.11274e-06,1.76,1.46
monodomain-spatial,,2D,80,0.0125,u2,4.54841e-08,7.41774e-08,2.93082e-07,1.94,1.92
monodomain-spatial,,3D,10,0.1,Vm,0.0027804,0.00390656,0.0102709,,
monodomain-spatial,,3D,20,0.05,Vm,0.000750213,0.00102162,0.00285406,1.94,1.85
monodomain-spatial,,3D,40,0.025,Vm,0.000188607,0.000258036,0.000731816,1.99,1.96
monodomain-spatial,,3D,80,0.0125,Vm,4.71583e-05,6.45925e-05,0.000183873,2.00,1.99
monodomain-spatial,,3D,10,0.1,u1,0.00019278,0.000277216,0.000937663,,
monodomain-spatial,,3D,20,0.05,u1,5.8208e-05,8.10791e-05,0.000293125,1.77,1.68
monodomain-spatial,,3D,40,0.025,u1,1.50153e-05,2.10068e-05,7.72067e-05,1.95,1.92
monodomain-spatial,,3D,80,0.0125,u1,3.77065e-06,5.28109e-06,1.94905e-05,1.99,1.99
monodomain-spatial,,3D,10,0.1,u2,8.46091e-05,0.000119484,0.000339718,,
monodomain-spatial,,3D,20,0.05,u2,2.53946e-05,3.47758e-05,0.000104139,1.78,1.71
monodomain-spatial,,3D,40,0.025,u2,6.54349e-06,9.00265e-06,2.73027e-05,1.95,1.93
monodomain-spatial,,3D,80,0.0125,u2,1.64338e-06,2.26364e-06,6.88692e-06,1.99,1.99
