case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
tet,GaussLinear,3D,10,0.0588235,Phi_e,,0.0038452,0.00426517,,
tet,GaussLinear,3D,20,0.030303,Phi_e,,0.000164347,0.000246184,4.75,4.30
tet,GaussLinear,3D,40,0.0151515,Phi_e,,8.62142e-05,0.000113229,0.93,1.12
tet,GaussLinear,3D,80,0.00757576,Phi_e,,6.61966e-05,0.000113872,0.38,-0.01
tet,GaussLinear,3D,10,0.0588235,Vm,,0.0224588,0.152636,,
tet,GaussLinear,3D,20,0.030303,Vm,,0.0136917,0.0777762,0.75,1.02
tet,GaussLinear,3D,40,0.0151515,Vm,,0.011424,0.056024,0.26,0.47
tet,GaussLinear,3D,80,0.00757576,Vm,,0.0108279,0.0409427,0.08,0.45
tet,leastSquares,3D,10,0.0588235,Phi_e,,0.00144473,0.00158752,,
tet,leastSquares,3D,20,0.030303,Phi_e,,0.000184609,0.000203236,3.10,3.10
tet,leastSquares,3D,40,0.0151515,Phi_e,,3.81311e-05,3.96357e-05,2.28,2.36
tet,leastSquares,3D,80,0.00757576,Phi_e,,6.95364e-06,8.29839e-06,2.46,2.26
tet,leastSquares,3D,10,0.0588235,Vm,,0.0110349,0.0602573,,
tet,leastSquares,3D,20,0.030303,Vm,,0.00298745,0.0213467,1.97,1.56
tet,leastSquares,3D,40,0.0151515,Vm,,0.000711825,0.00598599,2.07,1.83
tet,leastSquares,3D,80,0.00757576,Vm,,0.000170952,0.00191104,2.06,1.65
