time V u1 u2 u3 Iion
0.0000500 0.0000000 1.5000750 0.8164558 0.0000000 -0.0000000
0.0001000 0.0000000 1.5001500 0.8164149 0.0000000 -0.0000000
0.0001500 0.0000000 1.5002250 0.8163741 0.0000000 -0.0000000
0.0002000 0.0000000 1.5003000 0.8163333 0.0000000 -0.0000000
0.0002500 0.0000000 1.5003750 0.8162925 0.0000000 -0.0000000
0.0003000 0.0000000 1.5004500 0.8162517 0.0000000 -0.0000000
0.0003500 0.0000000 1.5005250 0.8162109 0.0000000 -0.0000000
0.0004000 0.0000000 1.5006000 0.8161701 0.0000000 -0.0000000
0.0004500 0.0000000 1.5006750 0.8161293 0.0000000 -0.0000000
0.0005000 0.0000000 1.5007500 0.8160885 0.0000000 -0.0000000
0.0005500 0.0000000 1.5008250 0.8160478 0.0000000 -0.0000000
0.0006000 0.0000000 1.5009000 0.8160070 0.0000000 -0.0000000
0.0006500 0.0000000 1.5009750 0.8159662 0.0000000 -0.0000000
0.0007000 0.0000000 1.5010500 0.8159254 0.0000000 -0.0000000
0.0007500 0.0000000 1.5011250 0.8158847 0.0000000 -0.0000000
0.0008000 0.0000000 1.5012000 0.8158439 0.0000000 -0.0000000
0.0008500 0.0000000 1.5012750 0.8158031 0.0000000 -0.0000000
0.0009000 0.0000000 1.5013500 0.8157624 0.0000000 -0.0000000
0.0009500 0.0000000 1.5014250 0.8157216 0.0000000 -0.0000000
0.0010000 0.0000000 1.5015000 0.8156809 0.0000000 -0.0000000
0.0010500 0.0000000 1.5015750 0.8156402 0.0000000 -0.0000000
0.0011000 0.0000000 1.5016500 0.8155994 0.0000000 -0.0000000
0.0011500 0.0000000 1.5017250 0.8155587 0.0000000 -0.0000000
0.0012000 0.0000000 1.5018000 0.8155180 0.0000000 -0.0000000
0.0012500 0.0000000 1.5018750 0.8154772 0.0000000 -0.0000000
0.0013000 0.0000000 1.5019500 0.8154365 0.0000000 -0.0000000
0.0013500 0.0000000 1.5020250 0.8153958 0.0000000 -0.0000000
0.0014000 0.0000000 1.5021000 0.8153551 0.0000000 -0.0000000
0.0014500 0.0000000 1.5021750 0.8153144 0.0000000 -0.0000000
0.0015000 0.0000000 1.5022500 0.8152737 0.0000000 -0.0000000
0.0015500 0.0000000 1.5023250 0.8152330 0.0000000 -0.0000000
0.0016000 0.0000000 1.5024000 0.8151923 0.0000000 -0.0000000
0.0016500 0.0000000 1.5024750 0.8151516 0.0000000 -0.0000000
0.0017000 0.0000000 1.5025500 0.8151109 0.0000000 -0.0000000
0.0017500 0.0000000 1.5026250 0.8150702 0.0000000 -0.0000000
0.0018000 0.0000000 1.5027000 0.8150295 0.0000000 -0.0000000
0.0018500 0.0000000 1.5027750 0.8149889 0.0000000 -0.0000000
0.0019000 0.0000000 1.5028500 0.8149482 0.0000000 -0.0000000
0.0019500 0.0000000 1.5029250 0.8149075 0.0000000 -0.0000000
0.0020000 0.0000000 1.5030000 0.8148668 0.0000000 -0.0000000
0.0020500 0.0000000 1.5030750 0.8148262 0.0000000 -0.0000000
0.0021000 0.0000000 1.5031500 0.8147855 0.0000000 -0.0000000
0.0021500 0.0000000 1.5032250 0.8147449 0.0000000 -0.0000000
0.0022000 0.0000000 1.5033000 0.8147042 0.0000000 -0.0000000
0.0022500 0.0000000 1.5033750 0.8146636 0.0000000 -0.0000000
0.0023000 0.0000000 1.5034500 0.8146229 0.0000000 -0.0000000
0.0023500 0.0000000 1.5035250 0.8145823 0.0000000 -0.0000000
0.0024000 0.0000000 1.5036000 0.8145417 0.0000000 -0.0000000
0.0024500 0.0000000 1.5036750 0.8145011 0.0000000 -0.0000000
0.0025000 0.0000000 1.5037500 0.8144604 0.0000000 -0.0000000
0.0025500 0.0000000 1.5038250 0.8144198 0.0000000 -0.0000000
0.0026000 0.0000000 1.5039000 0.8143792 0.0000000 -0.0000000
0.0026500 0.0000000 1.5039750 0.8143386 0.0000000 -0.0000000
0.0027000 0.0000000 1.5040500 0.8142980 0.0000000 -0.0000000
0.0027500 0.0000000 1.5041250 0.8142574 0.0000000 -0.0000000
0.0028000 0.0000000 1.5042000 0.8142168 0.0000000 -0.0000000
0.0028500 0.0000000 1.5042750 0.8141762 0.0000000 -0.0000000
0.0029000 0.0000000 1.5043500 0.8141356 0.0000000 -0.0000000
0.0029500 0.0000000 1.5044250 0.8140950 0.0000000 -0.0000000
0.0030000 0.0000000 1.5045000 0.8140544 0.0000000 -0.0000000
0.0030500 0.0000000 1.5045750 0.8140138 0.0000000 -0.0000000
0.0031000 0.0000000 1.5046500 0.8139733 0.0000000 -0.0000000
0.0031500 0.0000000 1.5047250 0.8139327 0.0000000 -0.0000000
0.0032000 0.0000000 1.5048000 0.8138921 0.0000000 -0.0000000
0.0032500 0.0000000 1.5048750 0.8138516 0.0000000 -0.0000000
0.0033000 0.0000000 1.5049500 0.8138110 0.0000000 -0.0000000
0.0033500 0.0000000 1.5050250 0.8137704 0.0000000 -0.0000000
0.0034000 0.0000000 1.5051000 0.8137299 0.0000000 -0.0000000
