# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.029500e+00
# Aref        : 2.029500e-01
# CofR        : (1.200000e+01 1.014750e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.1           	3.440332e+01	1.720166e+01	1.720166e+01	-6.091849e+00	-3.276167e+00	-2.815683e+00	-2.302419e-01	1.766840e-18	-4.857339e-19	-4.580041e-19	-7.147359e-19	2.567318e-19
0.2           	6.410283e+01	3.205142e+01	3.205142e+01	-1.154004e+01	-3.697766e+00	-7.842272e+00	2.072253e+00	-5.520535e-19	1.380876e-18	2.803866e-18	2.782809e-18	2.105632e-20
0.3           	7.727050e+01	3.863525e+01	3.863525e+01	-8.473341e+00	-1.680353e+00	-6.792988e+00	2.556318e+00	-2.916109e-18	1.416459e-18	-2.165231e-18	3.338437e-19	-2.499075e-18
0.4           	7.600089e+01	3.800045e+01	3.800045e+01	2.264885e+00	3.069106e+00	-8.042204e-01	1.936663e+00	4.711684e-18	-9.703733e-19	-6.565415e-18	-4.253081e-18	-2.312334e-18
0.5           	6.000319e+01	3.000159e+01	3.000159e+01	1.187693e+01	8.626747e+00	3.250182e+00	2.688282e+00	-7.182859e-22	2.587218e-23	-7.801052e-22	-3.641804e-22	-4.159248e-22
0.6           	1.918525e+01	9.592624e+00	9.592624e+00	1.204980e+01	9.246676e+00	2.803123e+00	3.221777e+00	5.202262e-19	-6.525743e-19	4.685667e-18	1.690259e-18	2.995408e-18
0.7           	-3.506358e+01	-1.753179e+01	-1.753179e+01	1.362308e+00	2.158766e+00	-7.964582e-01	1.477612e+00	2.403549e-18	-2.113816e-18	1.474803e-17	5.260197e-18	9.487829e-18
0.8           	-6.229019e+01	-3.114510e+01	-3.114510e+01	-4.480139e+00	-2.185493e+00	-2.294646e+00	5.457644e-02	1.437690e-18	1.535708e-18	-3.287592e-18	-1.080879e-19	-3.179504e-18
0.9           	-5.146021e+01	-2.573010e+01	-2.573010e+01	1.368084e+00	9.737827e-01	3.943010e-01	2.897409e-01	-2.059385e-18	-1.236644e-19	-7.107427e-18	-3.677378e-18	-3.430049e-18
1             	-2.100312e+01	-1.050156e+01	-1.050156e+01	6.467393e+00	2.977651e+00	3.489742e+00	-2.560452e-01	2.539178e-21	2.681485e-22	-5.713909e-21	-2.588806e-21	-3.125103e-21
