# time Cd
0.025 -20.1073
0.05 -21.6021
0.075 -22.1768
0.1 -21.9694
0.125 -21.0932
0.15 -19.6572
0.175 -17.6949
0.2 -15.1989
0.225 -12.3484
0.25 -9.13299
0.275 -5.71191
0.3 -2.08661
0.325 1.57358
0.35 5.29072
0.375 8.88244
0.4 12.2849
0.425 15.4355
0.45 18.2282
0.475 20.573
0.5 22.4229
0.525 23.7061
0.55 24.403
0.575 24.491
0.6 23.9146
0.625 22.7294
0.65 21.0343
0.675 18.8427
0.7 16.124
0.725 13.0821
0.75 9.69694
0.775 6.13144
0.8 2.39378
0.825 -1.3546
0.85 -5.12219
0.875 -8.72876
0.9 -12.1129
0.925 -15.2112
0.95 -17.9326
0.975 -20.1978
1 -21.9714
1.025 -23.1908
1.05 -23.8593
1.075 -23.951
1.1 -23.4084
1.125 -22.2889
1.15 -20.6712
1.175 -18.5636
1.2 -15.9454
1.225 -12.9965
1.25 -9.69479
1.275 -6.20206
1.3 -2.51268
1.325 1.20008
1.35 4.96785
1.375 8.60165
1.4 12.0381
1.425 15.2176
1.45 18.037
1.475 20.4036
1.5 22.2713
1.525 23.5695
1.55 24.2789
1.575 24.3773
1.6 23.8102
1.625 22.633
1.65 20.9442
1.675 18.7583
1.7 16.0453
1.725 13.0082
1.75 9.62771
1.775 6.06651
1.8 2.33322
1.825 -1.41131
1.85 -5.17439
1.875 -8.77681
1.9 -12.1575
1.925 -15.2525
1.95 -17.9702
1.975 -20.2321
2 -22.003
