# time Cd
0.025 26.9886
0.05 12.4724
0.075 2.69418
0.1 -1.12733
0.125 -2.2122
0.15 -2.35373
0.175 -2.2666
0.2 -2.13228
0.225 -2.07911
0.25 -1.95206
0.275 -1.68769
0.3 -1.70399
0.325 -1.52329
0.35 -1.36574
0.375 -1.2325
0.4 -1.10583
0.425 -0.951331
0.45 -0.792635
0.475 -0.658089
0.5 -0.532641
0.525 -0.373818
0.55 -0.204851
0.575 -0.0516151
0.6 0.0799934
0.625 0.232196
0.65 0.370626
0.675 0.527121
0.7 0.676624
0.725 0.804528
0.75 0.942112
0.775 1.06904
0.8 1.20579
0.825 1.32115
0.85 1.43924
0.875 1.55583
0.9 1.6667
0.925 1.77357
0.95 1.87777
0.975 1.96403
1 2.06103
1.025 2.15835
1.05 2.23895
1.075 2.31652
1.1 2.39747
1.125 2.46011
1.15 2.54436
1.175 2.60863
1.2 2.67806
1.225 2.74058
1.25 2.80667
1.275 2.85735
1.3 2.93935
1.325 3.01067
1.35 3.04486
1.375 3.10118
1.4 3.16218
1.425 3.22396
1.45 3.28607
1.475 3.31477
1.5 3.33899
1.525 3.36489
1.55 3.43861
1.575 3.48254
1.6 3.45544
1.625 3.48767
1.65 3.5025
1.675 3.47676
1.7 3.4361
1.725 3.4346
1.75 3.38737
1.775 3.36979
1.8 3.30708
1.825 3.26311
1.85 3.246
1.875 3.15733
1.9 3.09727
1.925 3.03363
1.95 2.98949
1.975 2.90356
2 2.85577
2.025 2.74305
2.05 2.72179
2.075 2.62534
2.1 2.52626
2.125 2.43073
2.15 2.29836
2.175 2.18829
2.2 2.07427
2.225 2.01714
2.25 1.87366
2.275 1.74664
2.3 1.64081
2.325 1.48135
2.35 1.33901
2.375 1.20825
2.4 1.08387
2.425 0.931073
2.45 0.775418
2.475 0.641385
2.5 0.515941
2.525 0.358269
2.55 0.191819
2.575 0.040917
2.6 -0.0897382
2.625 -0.241239
2.65 -0.378254
2.675 -0.533303
2.7 -0.680431
2.725 -0.807393
2.75 -0.94522
2.775 -1.07117
2.8 -1.20646
2.825 -1.32134
2.85 -1.43874
2.875 -1.55479
2.9 -1.66607
2.925 -1.77279
2.95 -1.87667
2.975 -1.96348
3 -2.06088
3.025 -2.15966
3.05 -2.24094
3.075 -2.32064
3.1 -2.40359
3.125 -2.46757
3.15 -2.55497
3.175 -2.62153
3.2 -2.69521
3.225 -2.7606
3.25 -2.83148
3.275 -2.88649
3.3 -2.97555
3.325 -3.05661
3.35 -3.09628
3.375 -3.16141
3.4 -3.23679
3.425 -3.31261
3.45 -3.3902
3.475 -3.43191
3.5 -3.47519
3.525 -3.51778
3.55 -3.62427
3.575 -3.69154
3.6 -3.6795
3.625 -3.73579
3.65 -3.77368
3.675 -3.7588
3.7 -3.72307
3.725 -3.7335
3.75 -3.68594
3.775 -3.66538
3.8 -3.59415
3.825 -3.54027
3.85 -3.51337
3.875 -3.40415
3.9 -3.32578
3.925 -3.24394
3.95 -3.1834
3.975 -3.07897
4 -3.01653
4.025 -2.88485
4.05 -2.85267
4.075 -2.74225
4.1 -2.62972
4.125 -2.52242
4.15 -2.37791
4.175 -2.25755
4.2 -2.13414
4.225 -2.07108
4.25 -1.9195
4.275 -1.78579
4.3 -1.67439
4.325 -1.50875
4.35 -1.36172
4.375 -1.22723
4.4 -1.09946
4.425 -0.943615
4.45 -0.785234
4.475 -0.649206
4.5 -0.522053
4.525 -0.362939
4.55 -0.194963
4.575 -0.0430691
4.6 0.0882839
4.625 0.240339
4.65 0.377931
4.675 0.533483
4.7 0.680939
4.725 0.807509
4.75 0.945664
4.775 1.07202
4.8 1.20764
4.825 1.32253
4.85 1.44003
4.875 1.5562
4.9 1.66742
4.925 1.77426
4.95 1.87803
4.975 1.96495
5 2.0631
5.025 2.1613
5.05 2.24242
5.075 2.32227
5.1 2.4052
5.125 2.46909
5.15 2.5564
5.175 2.62294
5.2 2.69674
5.225 2.76201
5.25 2.8328
5.275 2.88789
5.3 2.97693
5.325 3.05785
5.35 3.09744
5.375 3.1623
5.4 3.23758
5.425 3.31302
5.45 3.39033
5.475 3.4315
5.5 3.47426
5.525 3.51622
5.55 3.62162
5.575 3.68787
5.6 3.67481
5.625 3.72985
5.65 3.76628
5.675 3.75023
5.7 3.71344
5.725 3.72239
5.75 3.67387
5.775 3.65262
5.8 3.58065
5.825 3.52614
5.85 3.49877
5.875 3.38974
5.9 3.31149
5.925 3.22987
5.95 3.16947
5.975 3.0655
6 3.00325
6.025 2.87226
6.05 2.84018
6.075 2.73025
6.1 2.61824
6.125 2.51142
6.15 2.36756
6.175 2.2478
6.2 2.12509
6.225 2.06239
6.25 1.91158
6.275 1.77868
6.3 1.66801
6.325 1.50332
6.35 1.35711
6.375 1.22332
6.4 1.0963
6.425 0.941229
6.45 0.783569
6.475 0.648142
6.5 0.521551
6.525 0.362816
6.55 0.19533
6.575 0.0437306
6.6 -0.0873269
6.625 -0.239267
6.65 -0.37667
6.675 -0.532155
6.7 -0.679569
6.725 -0.806664
6.75 -0.944589
6.775 -1.07077
6.8 -1.20628
6.825 -1.32121
6.85 -1.43874
6.875 -1.5549
6.9 -1.66627
6.925 -1.77313
6.95 -1.87701
6.975 -1.96391
7 -2.06138
7.025 -2.16027
7.05 -2.24154
7.075 -2.3214
7.1 -2.40439
7.125 -2.46838
7.15 -2.5558
7.175 -2.62234
7.2 -2.69611
7.225 -2.7615
7.25 -2.83233
7.275 -2.88742
7.3 -2.97644
7.325 -3.05742
7.35 -3.09698
7.375 -3.16191
7.4 -3.23723
7.425 -3.31271
7.45 -3.38998
7.475 -3.43112
7.5 -3.47392
7.525 -3.51594
7.55 -3.62137
7.575 -3.68771
7.6 -3.67475
7.625 -3.72977
7.65 -3.76632
7.675 -3.75034
7.7 -3.71361
7.725 -3.72273
7.75 -3.6742
7.775 -3.65289
7.8 -3.58105
7.825 -3.52662
7.85 -3.49925
7.875 -3.39022
7.9 -3.31194
7.925 -3.2303
7.95 -3.1699
7.975 -3.06585
8 -3.00357
