# time Cd
0.05 1.97699
0.1 -1.27971
0.15 -2.0975
0.2 -2.11706
0.25 -1.95019
0.3 -1.7411
0.35 -1.60781
0.4 -1.19302
0.45 -0.907663
0.5 -0.632935
0.55 -0.340432
0.6 -0.0549366
0.65 0.226501
0.7 0.498003
0.75 0.753017
0.8 0.984919
0.85 1.18828
0.9 1.38535
0.95 1.56684
1 1.74148
1.05 1.89899
1.1 2.06266
1.15 2.19965
1.2 2.35775
1.25 2.48742
1.3 2.64376
1.35 2.7943
1.4 2.89267
1.45 3.05993
1.5 3.09296
1.55 3.18878
1.6 3.24433
1.65 3.28744
1.7 3.29363
1.75 3.22925
1.8 3.15377
1.85 3.05863
1.9 3.03794
1.95 2.95945
2 2.7656
2.05 2.60862
2.1 2.53493
2.15 2.34612
2.2 2.11929
2.25 1.88865
2.3 1.6566
2.35 1.45647
2.4 1.15838
2.45 0.888023
2.5 0.616683
2.55 0.328496
2.6 0.0449803
2.65 -0.233328
2.7 -0.502969
2.75 -0.755788
2.8 -0.985864
2.85 -1.18791
2.9 -1.38451
2.95 -1.56621
3 -1.74162
3.05 -1.90093
3.1 -2.06733
3.15 -2.20786
3.2 -2.37184
3.25 -2.50846
3.3 -2.6749
3.35 -2.84138
3.4 -2.95897
3.45 -3.15661
3.5 -3.21947
3.55 -3.36065
3.6 -3.46
3.65 -3.54544
3.7 -3.57997
3.75 -3.52138
3.8 -3.43368
3.85 -3.31345
3.9 -3.26756
3.95 -3.15467
4 -2.92141
4.05 -2.73096
4.1 -2.63742
4.15 -2.42496
4.2 -2.17719
4.25 -1.93031
4.3 -1.68655
4.35 -1.47805
4.4 -1.17178
4.45 -0.896189
4.5 -0.620892
4.55 -0.330098
4.6 -0.0447792
4.65 0.234575
4.7 0.504866
4.75 0.757787
4.8 0.987976
4.85 1.1899
4.9 1.38656
4.95 1.56814
5 1.7436
5.05 1.90269
5.1 2.06911
5.15 2.20948
5.2 2.37344
5.25 2.50982
5.3 2.67635
5.35 2.84263
5.4 2.95975
5.45 3.1582
5.5 3.21908
5.55 3.35848
5.6 3.45572
5.65 3.53879
5.7 3.57092
5.75 3.51036
5.8 3.42133
5.85 3.30042
5.9 3.25403
5.95 3.14139
6 2.90929
6.05 2.71968
6.1 2.62637
6.15 2.41488
6.2 2.16848
6.25 1.92297
6.3 1.6806
6.35 1.47348
6.4 1.16878
6.45 0.894489
6.5 0.620327
6.55 0.330317
6.6 0.045569
6.65 -0.233488
6.7 -0.503578
6.75 -0.756574
6.8 -0.986822
6.85 -1.1889
6.9 -1.3856
6.95 -1.56729
7 -1.74271
7.05 -1.90201
7.1 -2.06846
7.15 -2.20893
7.2 -2.37288
7.25 -2.50935
7.3 -2.67589
7.35 -2.84215
7.4 -2.95932
7.45 -3.15646
7.5 -3.21842
7.55 -3.35805
7.6 -3.45555
7.65 -3.53872
7.7 -3.57101
7.75 -3.51046
7.8 -3.42151
7.85 -3.30058
7.9 -3.25426
7.95 -3.14158
8 -2.90937
